signal,total_toggles,glitch_toggles,hazard_ratio,toggle_density,effective_activity,duty_cycle,glitch_power_proxy,total_power_proxy
ALU_tb.Ze,1,0,0.0,0.5,0.5,0.0,0,1
ALU_tb.Z[15:0],3,0,0.0,0.2,0.2,0.0,0,3
ALU_tb.S,3,0,0.0,0.2,0.2,0.4,0,3
ALU_tb.P,1,0,0.0,0.06666666666666667,0.06666666666666667,0.8666666666666667,0,1
ALU_tb.O,1,0,0.0,0.5,0.5,0.0,0,1
ALU_tb.Cr,2,0,0.0,0.13333333333333333,0.13333333333333333,0.0,0,2
ALU_tb.X[15:0],3,0,0.0,0.2,0.2,0.0,0,3
ALU_tb.Y[15:0],3,0,0.0,0.2,0.2,0.0,0,3
ALU_tb.DUT.Carry,2,0,0.0,0.13333333333333333,0.13333333333333333,0.0,0,2
ALU_tb.DUT.Carry_reg,2,0,0.0,0.13333333333333333,0.13333333333333333,0.0,0,2
ALU_tb.DUT.Overflow,1,0,0.0,0.5,0.5,0.0,0,1
ALU_tb.DUT.Overflow_reg,1,0,0.0,0.5,0.5,0.0,0,1
ALU_tb.DUT.Parity,1,0,0.0,0.06666666666666667,0.06666666666666667,0.8666666666666667,0,1
ALU_tb.DUT.Parity_reg,1,0,0.0,0.06666666666666667,0.06666666666666667,0.8666666666666667,0,1
ALU_tb.DUT.Sign,3,0,0.0,0.2,0.2,0.4,0,3
ALU_tb.DUT.Sign_reg,3,0,0.0,0.2,0.2,0.4,0,3
ALU_tb.DUT.X[15:0],3,0,0.0,0.2,0.2,0.0,0,3
ALU_tb.DUT.Y[15:0],3,0,0.0,0.2,0.2,0.0,0,3
ALU_tb.DUT.Zero,1,0,0.0,0.5,0.5,0.0,0,1
ALU_tb.DUT.Zero_reg,1,0,0.0,0.5,0.5,0.0,0,1
ALU_tb.DUT._000_,1,0,0.0,0.5,0.5,0.0,0,1
ALU_tb.DUT._001_,1,0,0.0,0.5,0.5,0.0,0,1
ALU_tb.DUT._002_,2,0,0.0,0.13333333333333333,0.13333333333333333,0.8666666666666667,0,2
ALU_tb.DUT._003_,1,0,0.0,0.5,0.5,0.0,0,1
ALU_tb.DUT._004_,2,0,0.0,0.13333333333333333,0.13333333333333333,0.8666666666666667,0,2
ALU_tb.DUT._005_,2,0,0.0,0.13333333333333333,0.13333333333333333,0.8666666666666667,0,2
ALU_tb.DUT._006_,2,0,0.0,0.2222222222222222,0.2222222222222222,0.7777777777777778,0,2
ALU_tb.DUT._007_,2,0,0.0,0.2222222222222222,0.2222222222222222,0.0,0,2
ALU_tb.DUT._008_,2,0,0.0,0.2222222222222222,0.2222222222222222,0.7777777777777778,0,2
ALU_tb.DUT._009_,3,0,0.0,0.2,0.2,0.4666666666666667,0,3
ALU_tb.DUT._010_,1,0,0.0,0.5,0.5,0.0,0,1
ALU_tb.DUT._011_,1,0,0.0,0.5,0.5,0.0,0,1
ALU_tb.DUT._012_,1,0,0.0,0.5,0.5,0.0,0,1
ALU_tb.DUT._013_,3,0,0.0,0.2,0.2,0.4,0,3
ALU_tb.DUT._014_,3,0,0.0,0.2,0.2,0.4,0,3
ALU_tb.DUT._015_,1,0,0.0,0.5,0.5,0.0,0,1
ALU_tb.DUT._016_,1,0,0.0,0.5,0.5,0.0,0,1
ALU_tb.DUT._017_,1,0,0.0,0.5,0.5,0.0,0,1
ALU_tb.DUT._018_,2,0,0.0,0.2222222222222222,0.2222222222222222,0.7777777777777778,0,2
ALU_tb.DUT._019_,2,0,0.0,0.2222222222222222,0.2222222222222222,0.0,0,2
ALU_tb.DUT._020_,3,0,0.0,0.2,0.2,0.4,0,3
ALU_tb.DUT._021_,2,0,0.0,0.13333333333333333,0.13333333333333333,0.8666666666666667,0,2
ALU_tb.DUT._022_,2,0,0.0,0.13333333333333333,0.13333333333333333,0.0,0,2
ALU_tb.DUT._023_,1,0,0.0,0.5,0.5,0.0,0,1
ALU_tb.DUT._024_,1,0,0.0,0.5,0.5,0.0,0,1
ALU_tb.DUT._025_,3,0,0.0,0.2,0.2,0.4666666666666667,0,3
ALU_tb.DUT._026_,1,0,0.0,0.5,0.5,0.0,0,1
ALU_tb.DUT._027_,1,0,0.0,0.5,0.5,0.0,0,1
ALU_tb.DUT._028_,1,0,0.0,0.5,0.5,0.0,0,1
ALU_tb.DUT._029_,1,0,0.0,0.5,0.5,0.0,0,1
ALU_tb.DUT._030_,2,0,0.0,0.13333333333333333,0.13333333333333333,0.8666666666666667,0,2
ALU_tb.DUT._031_,2,0,0.0,0.13333333333333333,0.13333333333333333,0.0,0,2
