signal,total_toggles,glitch_toggles,hazard_ratio,toggle_density,effective_activity,duty_cycle,glitch_power_proxy,total_power_proxy
demux1x4_tb3.o3,2,0,0.0,5.128205128205128e-05,5.128205128205128e-05,0.10256410256410256,0,2
demux1x4_tb3.o2,2,0,0.0,5.128205128205128e-05,5.128205128205128e-05,0.15384615384615385,0,2
demux1x4_tb3.o1,0,0,0.0,0.0,0.0,0.0,0,0
demux1x4_tb3.o0,0,0,0.0,0.0,0.0,0.0,0,0
demux1x4_tb3.a[3:0],6,0,0.0,0.00015384615384615385,0.00015384615384615385,0.0,0,6
demux1x4_tb3.sel[1:0],6,0,0.0,0.00015384615384615385,0.00015384615384615385,0.358974358974359,0,6
demux1x4_tb3.dut._00_,2,0,0.0,5.128205128205128e-05,5.128205128205128e-05,0.8461538461538461,0,2
demux1x4_tb3.dut._01_,2,0,0.0,8e-05,8e-05,0.6,0,2
demux1x4_tb3.dut._02_,4,0,0.0,0.00011428571428571428,0.00011428571428571428,0.6,0,4
demux1x4_tb3.dut._03_,4,0,0.0,0.00010256410256410256,0.00010256410256410256,0.7692307692307693,0,4
demux1x4_tb3.dut.a[3:0],6,0,0.0,0.00015384615384615385,0.00015384615384615385,0.0,0,6
demux1x4_tb3.dut.o0,0,0,0.0,0.0,0.0,0.0,0,0
demux1x4_tb3.dut.o1,0,0,0.0,0.0,0.0,0.0,0,0
demux1x4_tb3.dut.o2,2,0,0.0,5.128205128205128e-05,5.128205128205128e-05,0.15384615384615385,0,2
demux1x4_tb3.dut.o3,2,0,0.0,5.128205128205128e-05,5.128205128205128e-05,0.10256410256410256,0,2
demux1x4_tb3.dut.sel[1:0],6,0,0.0,0.00015384615384615385,0.00015384615384615385,0.358974358974359,0,6
