signal,total_toggles,glitch_toggles,hazard_ratio,toggle_density,effective_activity,duty_cycle,glitch_power_proxy,total_power_proxy
demux1x4_tb.o2,2,0,0.0,0.00011111111111111112,0.00011111111111111112,0.3888888888888889,0,2
demux1x4_tb.o0,3,0,0.0,7.5e-05,7.5e-05,0.25,0,3
demux1x4_tb.a[3:0],4,0,0.0,0.0001,0.0001,0.0,0,4
demux1x4_tb.sel[1:0],6,0,0.0,0.00015,0.00015,0.375,0,6
demux1x4_tb.dut._00_,3,0,0.0,7.5e-05,7.5e-05,0.825,0,3
demux1x4_tb.dut._01_,3,0,0.0,7.5e-05,7.5e-05,0.75,0,3
demux1x4_tb.dut._02_,4,0,0.0,0.00011428571428571428,0.00011428571428571428,0.5714285714285714,0,4
demux1x4_tb.dut._03_,2,0,0.0,7.692307692307693e-05,7.692307692307693e-05,0.6923076923076923,0,2
demux1x4_tb.dut.a[3:0],4,0,0.0,0.0001,0.0001,0.0,0,4
demux1x4_tb.dut.o0,3,0,0.0,7.5e-05,7.5e-05,0.25,0,3
demux1x4_tb.dut.o2,2,0,0.0,0.00011111111111111112,0.00011111111111111112,0.3888888888888889,0,2
demux1x4_tb.dut.sel[1:0],6,0,0.0,0.00015,0.00015,0.375,0,6
