signal,total_toggles,glitch_toggles,hazard_ratio,toggle_density,effective_activity,duty_cycle,glitch_power_proxy,total_power_proxy
demux1x4_tb2.o3,2,0,0.0,0.0001,0.0001,0.25,0,2
demux1x4_tb2.o2,4,0,0.0,0.00016,0.00016,0.4,0,4
demux1x4_tb2.o0,3,0,0.0,0.0001,0.0001,0.3333333333333333,0,3
demux1x4_tb2.a[3:0],5,0,0.0,0.00016666666666666666,0.00016666666666666666,0.0,0,5
demux1x4_tb2.sel[1:0],6,0,0.0,0.0002,0.0002,0.0,0,6
demux1x4_tb2.dut._00_,4,0,0.0,0.00016,0.00016,0.6,0,4
demux1x4_tb2.dut._01_,3,0,0.0,0.0001,0.0001,0.6666666666666666,0,3
demux1x4_tb2.dut._02_,1,0,0.0,3.3333333333333335e-05,3.3333333333333335e-05,1.0,0,1
demux1x4_tb2.dut._03_,4,0,0.0,0.0002,0.0002,0.5,0,4
demux1x4_tb2.dut.a[3:0],5,0,0.0,0.00016666666666666666,0.00016666666666666666,0.0,0,5
demux1x4_tb2.dut.o0,3,0,0.0,0.0001,0.0001,0.3333333333333333,0,3
demux1x4_tb2.dut.o2,4,0,0.0,0.00016,0.00016,0.4,0,4
demux1x4_tb2.dut.o3,2,0,0.0,0.0001,0.0001,0.25,0,2
demux1x4_tb2.dut.sel[1:0],6,0,0.0,0.0002,0.0002,0.0,0,6
