signal,total_toggles,glitch_toggles,hazard_ratio,toggle_density,effective_activity,duty_cycle,glitch_power_proxy,total_power_proxy
encoder4x2_tb2.out[1:0],6,0,0.0,0.00010526315789473685,0.00010526315789473685,0.3508771929824561,0,6
encoder4x2_tb2.d[3:0],7,0,0.0,0.00012280701754385965,0.00012280701754385965,0.17543859649122806,0,7
encoder4x2_tb2.dut._00_,4,0,0.0,7.017543859649122e-05,7.017543859649122e-05,0.38596491228070173,0,4
encoder4x2_tb2.dut._01_,5,0,0.0,8.771929824561403e-05,8.771929824561403e-05,0.6491228070175439,0,5
encoder4x2_tb2.dut._02_,2,0,0.0,8e-05,8e-05,0.8,0,2
encoder4x2_tb2.dut._03_,4,0,0.0,7.017543859649122e-05,7.017543859649122e-05,0.38596491228070173,0,4
encoder4x2_tb2.dut._04_,1,0,0.0,1.923076923076923e-05,1.923076923076923e-05,0.28846153846153844,0,1
encoder4x2_tb2.dut._05_,5,0,0.0,8.771929824561403e-05,8.771929824561403e-05,0.5263157894736842,0,5
encoder4x2_tb2.dut._06_,4,0,0.0,7.017543859649122e-05,7.017543859649122e-05,0.7017543859649122,0,4
encoder4x2_tb2.dut._07_,5,0,0.0,8.771929824561403e-05,8.771929824561403e-05,0.6491228070175439,0,5
encoder4x2_tb2.dut.d[3:0],7,0,0.0,0.00012280701754385965,0.00012280701754385965,0.17543859649122806,0,7
encoder4x2_tb2.dut.out[1:0],6,0,0.0,0.00010526315789473685,0.00010526315789473685,0.3508771929824561,0,6
