signal,total_toggles,glitch_toggles,hazard_ratio,toggle_density,effective_activity,duty_cycle,glitch_power_proxy,total_power_proxy
encoder4x2_tb.out[1:0],7,0,0.0,0.000175,0.000175,0.375,0,7
encoder4x2_tb.d[3:0],8,0,0.0,0.0002,0.0002,0.125,0,8
encoder4x2_tb.dut._00_,5,0,0.0,0.000125,0.000125,0.375,0,5
encoder4x2_tb.dut._01_,6,0,0.0,0.00015,0.00015,0.625,0,6
encoder4x2_tb.dut._02_,4,0,0.0,0.00011428571428571428,0.00011428571428571428,0.7142857142857143,0,4
encoder4x2_tb.dut._03_,5,0,0.0,0.000125,0.000125,0.375,0,5
encoder4x2_tb.dut._04_,1,0,0.0,2.5e-05,2.5e-05,0.25,0,1
encoder4x2_tb.dut._05_,6,0,0.0,0.00015,0.00015,0.5,0,6
encoder4x2_tb.dut._06_,3,0,0.0,7.5e-05,7.5e-05,0.875,0,3
encoder4x2_tb.dut._07_,6,0,0.0,0.00015,0.00015,0.625,0,6
encoder4x2_tb.dut.d[3:0],8,0,0.0,0.0002,0.0002,0.125,0,8
encoder4x2_tb.dut.out[1:0],7,0,0.0,0.000175,0.000175,0.375,0,7
