signal,total_toggles,glitch_toggles,hazard_ratio,toggle_density,effective_activity,duty_cycle,glitch_power_proxy,total_power_proxy
full_adder_tb3.sum,6,0,0.0,0.00013043478260869564,0.00013043478260869564,0.5434782608695652,0,6
full_adder_tb3.carry,6,0,0.0,0.00013043478260869564,0.00013043478260869564,0.6304347826086957,0,6
full_adder_tb3.a,3,0,0.0,9.67741935483871e-05,9.67741935483871e-05,0.16129032258064516,0,3
full_adder_tb3.b,3,0,0.0,7.317073170731707e-05,7.317073170731707e-05,0.8292682926829268,0,3
full_adder_tb3.c,6,0,0.0,0.00013043478260869564,0.00013043478260869564,0.6304347826086957,0,6
full_adder_tb3.dut.a,3,0,0.0,9.67741935483871e-05,9.67741935483871e-05,0.16129032258064516,0,3
full_adder_tb3.dut.b,3,0,0.0,7.317073170731707e-05,7.317073170731707e-05,0.8292682926829268,0,3
full_adder_tb3.dut.c,6,0,0.0,0.00013043478260869564,0.00013043478260869564,0.6304347826086957,0,6
full_adder_tb3.dut.carry,6,0,0.0,0.00013043478260869564,0.00013043478260869564,0.6304347826086957,0,6
full_adder_tb3.dut.w3,4,0,0.0,8.695652173913044e-05,8.695652173913044e-05,0.30434782608695654,0,4
full_adder_tb3.dut.w2,4,0,0.0,9.75609756097561e-05,9.75609756097561e-05,0.36585365853658536,0,4
full_adder_tb3.dut.w1,2,0,0.0,4.878048780487805e-05,4.878048780487805e-05,0.4634146341463415,0,2
full_adder_tb3.dut.sum,6,0,0.0,0.00013043478260869564,0.00013043478260869564,0.5434782608695652,0,6
full_adder_tb3.dut.ha1.a,3,0,0.0,9.67741935483871e-05,9.67741935483871e-05,0.16129032258064516,0,3
full_adder_tb3.dut.ha1.b,3,0,0.0,7.317073170731707e-05,7.317073170731707e-05,0.8292682926829268,0,3
full_adder_tb3.dut.ha1.carry,4,0,0.0,9.75609756097561e-05,9.75609756097561e-05,0.36585365853658536,0,4
full_adder_tb3.dut.ha1.sum,2,0,0.0,4.878048780487805e-05,4.878048780487805e-05,0.4634146341463415,0,2
full_adder_tb3.dut.ha2.a,2,0,0.0,4.878048780487805e-05,4.878048780487805e-05,0.4634146341463415,0,2
full_adder_tb3.dut.ha2.b,6,0,0.0,0.00013043478260869564,0.00013043478260869564,0.6304347826086957,0,6
full_adder_tb3.dut.ha2.carry,4,0,0.0,8.695652173913044e-05,8.695652173913044e-05,0.30434782608695654,0,4
full_adder_tb3.dut.ha2.sum,6,0,0.0,0.00013043478260869564,0.00013043478260869564,0.5434782608695652,0,6
