signal,total_toggles,glitch_toggles,hazard_ratio,toggle_density,effective_activity,duty_cycle,glitch_power_proxy,total_power_proxy
full_adder_tb.sum,3,0,0.0,0.00015,0.00015,0.75,0,3
full_adder_tb.carry,4,0,0.0,0.0002,0.0002,0.5,0,4
full_adder_tb.a,2,0,0.0,0.0001,0.0001,0.25,0,2
full_adder_tb.b,1,0,0.0,5e-05,5e-05,1.0,0,1
full_adder_tb.c,4,0,0.0,0.0002,0.0002,0.5,0,4
full_adder_tb.dut.a,2,0,0.0,0.0001,0.0001,0.25,0,2
full_adder_tb.dut.b,1,0,0.0,5e-05,5e-05,1.0,0,1
full_adder_tb.dut.c,4,0,0.0,0.0002,0.0002,0.5,0,4
full_adder_tb.dut.carry,4,0,0.0,0.0002,0.0002,0.5,0,4
full_adder_tb.dut.w3,2,0,0.0,0.0002,0.0002,0.5,0,2
full_adder_tb.dut.w2,2,0,0.0,0.0001,0.0001,0.25,0,2
full_adder_tb.dut.w1,1,0,0.0,6.666666666666667e-05,6.666666666666667e-05,1.0,0,1
full_adder_tb.dut.sum,3,0,0.0,0.00015,0.00015,0.75,0,3
full_adder_tb.dut.ha1.a,2,0,0.0,0.0001,0.0001,0.25,0,2
full_adder_tb.dut.ha1.b,1,0,0.0,5e-05,5e-05,1.0,0,1
full_adder_tb.dut.ha1.carry,2,0,0.0,0.0001,0.0001,0.25,0,2
full_adder_tb.dut.ha1.sum,1,0,0.0,6.666666666666667e-05,6.666666666666667e-05,1.0,0,1
full_adder_tb.dut.ha2.a,1,0,0.0,6.666666666666667e-05,6.666666666666667e-05,1.0,0,1
full_adder_tb.dut.ha2.b,4,0,0.0,0.0002,0.0002,0.5,0,4
full_adder_tb.dut.ha2.carry,2,0,0.0,0.0002,0.0002,0.5,0,2
full_adder_tb.dut.ha2.sum,3,0,0.0,0.00015,0.00015,0.75,0,3
