signal,total_toggles,glitch_toggles,hazard_ratio,toggle_density,effective_activity,duty_cycle,glitch_power_proxy,total_power_proxy,design
mux2x1_tb2.out,3,0,0.0,8.333333333333333e-05,8.333333333333333e-05,0.3333333333333333,0,3,mux2x1_gl2
mux2x1_tb2.a,4,0,0.0,0.0001111111111111,0.0001111111111111,0.5833333333333334,0,4,mux2x1_gl2
mux2x1_tb2.b,4,0,0.0,0.0001111111111111,0.0001111111111111,0.3333333333333333,0,4,mux2x1_gl2
mux2x1_tb2.sel,5,0,0.0,0.00015625,0.00015625,0.375,0,5,mux2x1_gl2
mux2x1_tb2.dut.a,4,0,0.0,0.0001111111111111,0.0001111111111111,0.5833333333333334,0,4,mux2x1_gl2
mux2x1_tb2.dut.b,4,0,0.0,0.0001111111111111,0.0001111111111111,0.3333333333333333,0,4,mux2x1_gl2
mux2x1_tb2.dut.sel,5,0,0.0,0.00015625,0.00015625,0.375,0,5,mux2x1_gl2
mux2x1_tb2.dut.out,3,0,0.0,8.333333333333333e-05,8.333333333333333e-05,0.3333333333333333,0,3,mux2x1_gl2
decoder2x4_tb2.out[3:0],6,0,0.0,0.0002068965517241,0.0002068965517241,0.4482758620689655,0,6,decoder2x4_gl2
decoder2x4_tb2.in[1:0],6,0,0.0,0.0002068965517241,0.0002068965517241,0.1034482758620689,0,6,decoder2x4_gl2
decoder2x4_tb2.dut.in[1:0],6,0,0.0,0.0002068965517241,0.0002068965517241,0.1034482758620689,0,6,decoder2x4_gl2
decoder2x4_tb2.dut.out[3:0],6,0,0.0,0.0002068965517241,0.0002068965517241,0.4482758620689655,0,6,decoder2x4_gl2
jkff_tb.qb,6,0,0.0,0.00012,0.00012,0.56,0,6,jkff_gl
jkff_tb.q,6,0,0.0,0.00012,0.00012,0.4,0,6,jkff_gl
jkff_tb.clk,29,0,0.0,0.0005,0.0005,0.4827586206896552,0,29,jkff_gl
jkff_tb.jk[1:0],6,0,0.0,0.0001224489795918,0.0001224489795918,0.3469387755102041,0,6,jkff_gl
jkff_tb.dut._1_,5,0,0.0,0.0001219512195121,0.0001219512195121,0.3414634146341463,0,5,jkff_gl
jkff_tb.dut.clk,29,0,0.0,0.0005,0.0005,0.4827586206896552,0,29,jkff_gl
jkff_tb.dut.jk[1:0],6,0,0.0,0.0001224489795918,0.0001224489795918,0.3469387755102041,0,6,jkff_gl
jkff_tb.dut.qb,6,0,0.0,0.00012,0.00012,0.56,0,6,jkff_gl
jkff_tb.dut._0_,7,0,0.0,0.0001428571428571,0.0001428571428571,0.3673469387755102,0,7,jkff_gl
jkff_tb.dut.q,6,0,0.0,0.00012,0.00012,0.4,0,6,jkff_gl
full_adder_tb.sum,3,0,0.0,0.00015,0.00015,0.75,0,3,full_adder_gl
full_adder_tb.carry,4,0,0.0,0.0002,0.0002,0.5,0,4,full_adder_gl
full_adder_tb.a,2,0,0.0,0.0001,0.0001,0.25,0,2,full_adder_gl
full_adder_tb.b,1,0,0.0,5e-05,5e-05,1.0,0,1,full_adder_gl
full_adder_tb.c,4,0,0.0,0.0002,0.0002,0.5,0,4,full_adder_gl
full_adder_tb.dut.a,2,0,0.0,0.0001,0.0001,0.25,0,2,full_adder_gl
full_adder_tb.dut.b,1,0,0.0,5e-05,5e-05,1.0,0,1,full_adder_gl
full_adder_tb.dut.c,4,0,0.0,0.0002,0.0002,0.5,0,4,full_adder_gl
full_adder_tb.dut.carry,4,0,0.0,0.0002,0.0002,0.5,0,4,full_adder_gl
full_adder_tb.dut.w3,2,0,0.0,0.0002,0.0002,0.5,0,2,full_adder_gl
full_adder_tb.dut.w2,2,0,0.0,0.0001,0.0001,0.25,0,2,full_adder_gl
full_adder_tb.dut.w1,1,0,0.0,6.666666666666667e-05,6.666666666666667e-05,1.0,0,1,full_adder_gl
full_adder_tb.dut.sum,3,0,0.0,0.00015,0.00015,0.75,0,3,full_adder_gl
full_adder_tb.dut.ha1.a,2,0,0.0,0.0001,0.0001,0.25,0,2,full_adder_gl
full_adder_tb.dut.ha1.b,1,0,0.0,5e-05,5e-05,1.0,0,1,full_adder_gl
full_adder_tb.dut.ha1.carry,2,0,0.0,0.0001,0.0001,0.25,0,2,full_adder_gl
full_adder_tb.dut.ha1.sum,1,0,0.0,6.666666666666667e-05,6.666666666666667e-05,1.0,0,1,full_adder_gl
full_adder_tb.dut.ha2.a,1,0,0.0,6.666666666666667e-05,6.666666666666667e-05,1.0,0,1,full_adder_gl
full_adder_tb.dut.ha2.b,4,0,0.0,0.0002,0.0002,0.5,0,4,full_adder_gl
full_adder_tb.dut.ha2.carry,2,0,0.0,0.0002,0.0002,0.5,0,2,full_adder_gl
full_adder_tb.dut.ha2.sum,3,0,0.0,0.00015,0.00015,0.75,0,3,full_adder_gl
encoder4x2_tb3.out[1:0],7,0,0.0,0.0001272727272727,0.0001272727272727,0.2,0,7,encoder4x2_gl3
