signal,total_toggles,glitch_toggles,hazard_ratio,toggle_density,effective_activity,duty_cycle,glitch_power_proxy,total_power_proxy
jkff_tb3.qb,8,0,0.0,0.00019047619047619048,0.00019047619047619048,0.38095238095238093,0,8
jkff_tb3.q,8,0,0.0,0.00019047619047619048,0.00019047619047619048,0.5714285714285714,0,8
jkff_tb3.clk,25,0,0.0,0.0005,0.0005,0.48,0,25
jkff_tb3.jk[1:0],7,0,0.0,0.000175,0.000175,0.225,0,7
jkff_tb3.dut._1_,7,0,0.0,0.000175,0.000175,0.5,0,7
jkff_tb3.dut.clk,25,0,0.0,0.0005,0.0005,0.48,0,25
jkff_tb3.dut.jk[1:0],7,0,0.0,0.000175,0.000175,0.225,0,7
jkff_tb3.dut.qb,8,0,0.0,0.00019047619047619048,0.00019047619047619048,0.38095238095238093,0,8
jkff_tb3.dut._0_,9,0,0.0,0.00023684210526315788,0.00023684210526315788,0.631578947368421,0,9
jkff_tb3.dut.q,8,0,0.0,0.00019047619047619048,0.00019047619047619048,0.5714285714285714,0,8
