signal,total_toggles,glitch_toggles,hazard_ratio,toggle_density,effective_activity,duty_cycle,glitch_power_proxy,total_power_proxy
jkff_tb.qb,6,0,0.0,0.00012,0.00012,0.56,0,6
jkff_tb.q,6,0,0.0,0.00012,0.00012,0.4,0,6
jkff_tb.clk,29,0,0.0,0.0005,0.0005,0.4827586206896552,0,29
jkff_tb.jk[1:0],6,0,0.0,0.00012244897959183673,0.00012244897959183673,0.3469387755102041,0,6
jkff_tb.dut._1_,5,0,0.0,0.00012195121951219512,0.00012195121951219512,0.34146341463414637,0,5
jkff_tb.dut.clk,29,0,0.0,0.0005,0.0005,0.4827586206896552,0,29
jkff_tb.dut.jk[1:0],6,0,0.0,0.00012244897959183673,0.00012244897959183673,0.3469387755102041,0,6
jkff_tb.dut.qb,6,0,0.0,0.00012,0.00012,0.56,0,6
jkff_tb.dut._0_,7,0,0.0,0.00014285714285714287,0.00014285714285714287,0.3673469387755102,0,7
jkff_tb.dut.q,6,0,0.0,0.00012,0.00012,0.4,0,6
