signal,total_toggles,glitch_toggles,hazard_ratio,toggle_density,effective_activity,duty_cycle,glitch_power_proxy,total_power_proxy
mux4x1_tb3.out,4,0,0.0,8.888888888888889e-05,8.888888888888889e-05,0.3333333333333333,0,4
mux4x1_tb3.a,4,0,0.0,0.00013333333333333334,0.00013333333333333334,0.6666666666666666,0,4
mux4x1_tb3.b,5,0,0.0,0.00011111111111111112,0.00011111111111111112,0.2222222222222222,0,5
mux4x1_tb3.c,4,0,0.0,8.888888888888889e-05,8.888888888888889e-05,0.5555555555555556,0,4
mux4x1_tb3.d,2,0,0.0,6.666666666666667e-05,6.666666666666667e-05,0.6666666666666666,0,2
mux4x1_tb3.sel[1:0],7,0,0.0,0.00015555555555555556,0.00015555555555555556,0.1111111111111111,0,7
mux4x1_tb3.dut.a,4,0,0.0,0.00013333333333333334,0.00013333333333333334,0.6666666666666666,0,4
mux4x1_tb3.dut.b,5,0,0.0,0.00011111111111111112,0.00011111111111111112,0.2222222222222222,0,5
mux4x1_tb3.dut.c,4,0,0.0,8.888888888888889e-05,8.888888888888889e-05,0.5555555555555556,0,4
mux4x1_tb3.dut.d,2,0,0.0,6.666666666666667e-05,6.666666666666667e-05,0.6666666666666666,0,2
mux4x1_tb3.dut.sel[1:0],7,0,0.0,0.00015555555555555556,0.00015555555555555556,0.1111111111111111,0,7
mux4x1_tb3.dut.w2,4,0,0.0,8.888888888888889e-05,8.888888888888889e-05,0.5555555555555556,0,4
mux4x1_tb3.dut.w1,4,0,0.0,0.00013333333333333334,0.00013333333333333334,0.5,0,4
mux4x1_tb3.dut.out,4,0,0.0,8.888888888888889e-05,8.888888888888889e-05,0.3333333333333333,0,4
mux4x1_tb3.dut.u1.a,4,0,0.0,0.00013333333333333334,0.00013333333333333334,0.6666666666666666,0,4
mux4x1_tb3.dut.u1.b,5,0,0.0,0.00011111111111111112,0.00011111111111111112,0.2222222222222222,0,5
mux4x1_tb3.dut.u1.sel,5,0,0.0,0.00011111111111111112,0.00011111111111111112,0.2222222222222222,0,5
mux4x1_tb3.dut.u1.out,4,0,0.0,0.00013333333333333334,0.00013333333333333334,0.5,0,4
mux4x1_tb3.dut.u2.a,4,0,0.0,8.888888888888889e-05,8.888888888888889e-05,0.5555555555555556,0,4
mux4x1_tb3.dut.u2.b,2,0,0.0,6.666666666666667e-05,6.666666666666667e-05,0.6666666666666666,0,2
mux4x1_tb3.dut.u2.sel,5,0,0.0,0.00011111111111111112,0.00011111111111111112,0.2222222222222222,0,5
mux4x1_tb3.dut.u2.out,4,0,0.0,8.888888888888889e-05,8.888888888888889e-05,0.5555555555555556,0,4
mux4x1_tb3.dut.u3.a,4,0,0.0,0.00013333333333333334,0.00013333333333333334,0.5,0,4
mux4x1_tb3.dut.u3.b,4,0,0.0,8.888888888888889e-05,8.888888888888889e-05,0.5555555555555556,0,4
mux4x1_tb3.dut.u3.sel,3,0,0.0,0.0001,0.0001,0.3333333333333333,0,3
mux4x1_tb3.dut.u3.out,4,0,0.0,8.888888888888889e-05,8.888888888888889e-05,0.3333333333333333,0,4
