signal,total_toggles,glitch_toggles,hazard_ratio,toggle_density,effective_activity,duty_cycle,glitch_power_proxy,total_power_proxy
mux4x1_tb.out,3,0,0.0,0.00015,0.00015,0.75,0,3
mux4x1_tb.a,3,0,0.0,8.571428571428571e-05,8.571428571428571e-05,0.8571428571428571,0,3
mux4x1_tb.b,4,0,0.0,0.0002,0.0002,0.5,0,4
mux4x1_tb.c,4,0,0.0,0.00011428571428571428,0.00011428571428571428,0.42857142857142855,0,4
mux4x1_tb.d,3,0,0.0,8.571428571428571e-05,8.571428571428571e-05,0.8285714285714286,0,3
mux4x1_tb.sel[1:0],6,0,0.0,0.00017142857142857143,0.00017142857142857143,0.14285714285714285,0,6
mux4x1_tb.dut.a,3,0,0.0,8.571428571428571e-05,8.571428571428571e-05,0.8571428571428571,0,3
mux4x1_tb.dut.b,4,0,0.0,0.0002,0.0002,0.5,0,4
mux4x1_tb.dut.c,4,0,0.0,0.00011428571428571428,0.00011428571428571428,0.42857142857142855,0,4
mux4x1_tb.dut.d,3,0,0.0,8.571428571428571e-05,8.571428571428571e-05,0.8285714285714286,0,3
mux4x1_tb.dut.sel[1:0],6,0,0.0,0.00017142857142857143,0.00017142857142857143,0.14285714285714285,0,6
mux4x1_tb.dut.w2,1,0,0.0,5e-05,5e-05,1.0,0,1
mux4x1_tb.dut.w1,5,0,0.0,0.00014285714285714287,0.00014285714285714287,0.6857142857142857,0,5
mux4x1_tb.dut.out,3,0,0.0,0.00015,0.00015,0.75,0,3
mux4x1_tb.dut.u1.a,3,0,0.0,8.571428571428571e-05,8.571428571428571e-05,0.8571428571428571,0,3
mux4x1_tb.dut.u1.b,4,0,0.0,0.0002,0.0002,0.5,0,4
mux4x1_tb.dut.u1.sel,5,0,0.0,0.00014285714285714287,0.00014285714285714287,0.3142857142857143,0,5
mux4x1_tb.dut.u1.out,5,0,0.0,0.00014285714285714287,0.00014285714285714287,0.6857142857142857,0,5
mux4x1_tb.dut.u2.a,4,0,0.0,0.00011428571428571428,0.00011428571428571428,0.42857142857142855,0,4
mux4x1_tb.dut.u2.b,3,0,0.0,8.571428571428571e-05,8.571428571428571e-05,0.8285714285714286,0,3
mux4x1_tb.dut.u2.sel,5,0,0.0,0.00014285714285714287,0.00014285714285714287,0.3142857142857143,0,5
mux4x1_tb.dut.u2.out,1,0,0.0,5e-05,5e-05,1.0,0,1
mux4x1_tb.dut.u3.a,5,0,0.0,0.00014285714285714287,0.00014285714285714287,0.6857142857142857,0,5
mux4x1_tb.dut.u3.b,1,0,0.0,5e-05,5e-05,1.0,0,1
mux4x1_tb.dut.u3.sel,2,0,0.0,5.714285714285714e-05,5.714285714285714e-05,0.5714285714285714,0,2
mux4x1_tb.dut.u3.out,3,0,0.0,0.00015,0.00015,0.75,0,3
