signal,total_toggles,glitch_toggles,hazard_ratio,toggle_density,effective_activity,duty_cycle,glitch_power_proxy,total_power_proxy
seq_tb.clk,11,0,0.0,0.2,0.2,0.45454545454545453,0,11
seq_tb.rst,1,0,0.0,0.05263157894736842,0.05263157894736842,1.0,0,1
seq_tb.x,4,0,0.0,0.07272727272727272,0.07272727272727272,0.36363636363636365,0,4
seq_tb.DUT._0_,0,0,0.0,0.0,0.0,0.0,0,0
seq_tb.DUT._1_,1,0,0.0,0.01818181818181818,0.01818181818181818,0.0,0,1
seq_tb.DUT._2_,4,0,0.0,0.07272727272727272,0.07272727272727272,0.36363636363636365,0,4
seq_tb.DUT.clk,11,0,0.0,0.2,0.2,0.45454545454545453,0,11
seq_tb.DUT.rst,1,0,0.0,0.05263157894736842,0.05263157894736842,1.0,0,1
seq_tb.DUT.x,4,0,0.0,0.07272727272727272,0.07272727272727272,0.36363636363636365,0,4
seq_tb.DUT.PS[3:0],2,0,0.0,0.03636363636363636,0.03636363636363636,0.0,0,2
seq_tb.DUT.\PS_reg[1],1,0,0.0,0.01818181818181818,0.01818181818181818,0.0,0,1
seq_tb.DUT.\PS_reg[2],2,0,0.0,0.03636363636363636,0.03636363636363636,0.18181818181818182,0,2
