signal,total_toggles,glitch_toggles,hazard_ratio,toggle_density,effective_activity,duty_cycle,glitch_power_proxy,total_power_proxy
seq_tb.z,2,0,0.0,0.044444444444444446,0.044444444444444446,0.06666666666666667,0,2
seq_tb.clk,10,0,0.0,0.2,0.2,0.5,0,10
seq_tb.rst,1,0,0.0,0.06666666666666667,0.06666666666666667,1.0,0,1
seq_tb.x,4,0,0.0,0.07692307692307693,0.07692307692307693,0.38461538461538464,0,4
seq_tb.DUT._0_,3,0,0.0,0.057692307692307696,0.057692307692307696,0.057692307692307696,0,3
seq_tb.DUT._1_,2,0,0.0,0.05714285714285714,0.05714285714285714,0.2857142857142857,0,2
seq_tb.DUT._2_,4,0,0.0,0.07692307692307693,0.07692307692307693,0.38461538461538464,0,4
seq_tb.DUT.clk,10,0,0.0,0.2,0.2,0.5,0,10
seq_tb.DUT.rst,1,0,0.0,0.06666666666666667,0.06666666666666667,1.0,0,1
seq_tb.DUT.x,4,0,0.0,0.07692307692307693,0.07692307692307693,0.38461538461538464,0,4
seq_tb.DUT.z,2,0,0.0,0.044444444444444446,0.044444444444444446,0.06666666666666667,0,2
seq_tb.DUT.PS[3:0],4,0,0.0,0.08888888888888889,0.08888888888888889,0.0,0,4
seq_tb.DUT.\PS_reg[1],2,0,0.0,0.05714285714285714,0.05714285714285714,0.2857142857142857,0,2
seq_tb.DUT.\PS_reg[2],3,0,0.0,0.06666666666666667,0.06666666666666667,0.2222222222222222,0,3
seq_tb.DUT.\PS_reg[3],2,0,0.0,0.044444444444444446,0.044444444444444446,0.2222222222222222,0,2
