signal,total_toggles,glitch_toggles,hazard_ratio,toggle_density,effective_activity,duty_cycle,glitch_power_proxy,total_power_proxy
srff_tb3.qb,6,0,0.0,0.00013043478260869564,0.00013043478260869564,0.34782608695652173,0,6
srff_tb3.q,6,0,0.0,0.00013043478260869564,0.00013043478260869564,0.6086956521739131,0,6
srff_tb3.clk,26,0,0.0,0.0005,0.0005,0.5,0,26
srff_tb3.sr[1:0],8,0,0.0,0.00018604651162790697,0.00018604651162790697,0.18604651162790697,0,8
srff_tb3.dut._0_,5,0,0.0,0.00011627906976744187,0.00011627906976744187,0.6976744186046512,0,5
srff_tb3.dut._1_,6,0,0.0,0.00013953488372093022,0.00013953488372093022,0.5813953488372093,0,6
srff_tb3.dut._2_,5,0,0.0,0.00014285714285714287,0.00014285714285714287,0.5142857142857142,0,5
srff_tb3.dut.clk,26,0,0.0,0.0005,0.0005,0.5,0,26
srff_tb3.dut.qb,6,0,0.0,0.00013043478260869564,0.00013043478260869564,0.34782608695652173,0,6
srff_tb3.dut.sr[1:0],8,0,0.0,0.00018604651162790697,0.00018604651162790697,0.18604651162790697,0,8
srff_tb3.dut.q,6,0,0.0,0.00013043478260869564,0.00013043478260869564,0.6086956521739131,0,6
