signal,total_toggles,glitch_toggles,hazard_ratio,toggle_density,effective_activity,duty_cycle,glitch_power_proxy,total_power_proxy
srff_tb.qb,4,0,0.0,9.523809523809524e-05,9.523809523809524e-05,0.38095238095238093,0,4
srff_tb.q,4,0,0.0,9.523809523809524e-05,9.523809523809524e-05,0.38095238095238093,0,4
srff_tb.clk,32,0,0.0,0.0005,0.0005,0.5,0,32
srff_tb.sr[1:0],9,0,0.0,0.00015254237288135592,0.00015254237288135592,0.15254237288135594,0,9
srff_tb.dut._0_,4,0,0.0,8.163265306122449e-05,8.163265306122449e-05,0.5306122448979592,0,4
srff_tb.dut._1_,6,0,0.0,0.00012244897959183673,0.00012244897959183673,0.5714285714285714,0,6
srff_tb.dut._2_,6,0,0.0,0.00012244897959183673,0.00012244897959183673,0.6122448979591837,0,6
srff_tb.dut.clk,32,0,0.0,0.0005,0.0005,0.5,0,32
srff_tb.dut.qb,4,0,0.0,9.523809523809524e-05,9.523809523809524e-05,0.38095238095238093,0,4
srff_tb.dut.sr[1:0],9,0,0.0,0.00015254237288135592,0.00015254237288135592,0.15254237288135594,0,9
srff_tb.dut.q,4,0,0.0,9.523809523809524e-05,9.523809523809524e-05,0.38095238095238093,0,4
