signal,total_toggles,glitch_toggles,hazard_ratio,toggle_density,effective_activity,duty_cycle,glitch_power_proxy,total_power_proxy
traffic_light_controller_tb.light_S[2:0],12942,0,0.0,2.7777897018737523e-05,2.7777897018737523e-05,0.14814878409993346,0,12942
traffic_light_controller_tb.light_MT[2:0],12942,0,0.0,2.777956649967159e-05,2.777956649967159e-05,0.22223653199737273,0,12942
traffic_light_controller_tb.light_M2[2:0],12942,0,0.0,2.7777897018737523e-05,2.7777897018737523e-05,0.29629327552531604,0,12942
traffic_light_controller_tb.light_M1[2:0],12942,0,0.0,2.7777897018737523e-05,2.7777897018737523e-05,0.6296280397501663,0,12942
traffic_light_controller_tb.clk,232957,0,0.0,0.0005,0.0005,0.49999785368115146,0,232957
traffic_light_controller_tb.rst,1,0,0.0,0.0005,0.0005,1.0,0,1
traffic_light_controller_tb.dut._001_,8628,0,0.0,1.851875700248548e-05,1.851875700248548e-05,0.2962872339055518,0,8628
traffic_light_controller_tb.dut._002_,8628,0,0.0,1.851923398884725e-05,1.851923398884725e-05,0.148153871910778,0,8628
traffic_light_controller_tb.dut._003_,8628,0,0.0,1.8520347052585938e-05,1.8520347052585938e-05,0.22224416463103125,0,8628
traffic_light_controller_tb.dut._004_,8628,0,0.0,1.852130121371624e-05,1.852130121371624e-05,0.11112780728229743,0,8628
traffic_light_controller_tb.dut._005_,8628,0,0.0,1.851875700248548e-05,1.851875700248548e-05,0.11111254201491289,0,8628
traffic_light_controller_tb.dut._006_,8628,0,0.0,1.8519870008886446e-05,1.8519870008886446e-05,0.11111922005331867,0,8628
traffic_light_controller_tb.dut._007_,94909,0,0.0,0.0002037049755963547,0.0002037049755963547,0.48147941465592364,0,94909
traffic_light_controller_tb.dut._008_,103537,0,0.0,0.00022222341462158253,0.00022222341462158253,0.44444253660546795,0,103537
traffic_light_controller_tb.dut._009_,60397,0,0.0,0.00012963121949544337,0.00012963121949544337,0.25926243899088675,0,60397
traffic_light_controller_tb.dut._010_,103537,0,0.0,0.00022222341462158253,0.00022222341462158253,0.44444682924316503,0,103537
traffic_light_controller_tb.dut._011_,69025,0,0.0,0.0001481496585206712,0.0001481496585206712,0.44444682924316503,0,69025
traffic_light_controller_tb.dut._012_,51769,0,0.0,0.00011111278047021553,0.00011111278047021553,0.777778731697266,0,51769
traffic_light_controller_tb.dut._013_,51769,0,0.0,0.00011111278047021553,0.00011111278047021553,0.555557463394532,0,51769
traffic_light_controller_tb.dut._014_,34512,0,0.0,7.407502800994193e-05,7.407502800994193e-05,0.1851875700248548,0,34512
traffic_light_controller_tb.dut._015_,51769,0,0.0,0.00011111278047021553,0.00011111278047021553,0.555557463394532,0,51769
traffic_light_controller_tb.dut._016_,69025,0,0.0,0.0001481496585206712,0.0001481496585206712,0.44444682924316503,0,69025
traffic_light_controller_tb.dut._017_,25885,0,0.0,5.555746339453204e-05,5.555746339453204e-05,0.22222126830273398,0,25885
traffic_light_controller_tb.dut._018_,60397,0,0.0,0.00012963121949544337,0.00012963121949544337,0.4074056585550123,0,60397
traffic_light_controller_tb.dut._019_,34512,0,0.0,7.407629996265277e-05,7.407629996265277e-05,0.8518474000746945,0,34512
traffic_light_controller_tb.dut._020_,25884,0,0.0,5.5557224971989575e-05,5.5557224971989575e-05,0.7036948001493889,0,25884
traffic_light_controller_tb.dut._021_,0,0,0.0,0.0,0.0,1.0,0,0
traffic_light_controller_tb.dut._022_,0,0,0.0,0.0,0.0,1.0,0,0
traffic_light_controller_tb.dut._024_,25884,0,0.0,5.5557224971989575e-05,5.5557224971989575e-05,0.8148092500933681,0,25884
traffic_light_controller_tb.dut._025_,25884,0,0.0,5.5557224971989575e-05,5.5557224971989575e-05,0.7036948001493889,0,25884
traffic_light_controller_tb.dut._026_,17256,0,0.0,3.7040694105171876e-05,3.7040694105171876e-05,0.22224416463103125,0,17256
traffic_light_controller_tb.dut._027_,17256,0,0.0,3.7040694105171876e-05,3.7040694105171876e-05,0.22224416463103125,0,17256
traffic_light_controller_tb.dut._028_,8628,0,0.0,1.852050607261378e-05,1.852050607261378e-05,0.9629589878547724,0,8628
traffic_light_controller_tb.dut._029_,8628,0,0.0,1.852050607261378e-05,1.852050607261378e-05,0.9629589878547724,0,8628
traffic_light_controller_tb.dut._031_,0,0,0.0,0.0,0.0,1.0,0,0
traffic_light_controller_tb.dut._033_,0,0,0.0,0.0,0.0,1.0,0,0
traffic_light_controller_tb.dut._034_,0,0,0.0,0.0,0.0,1.0,0,0
traffic_light_controller_tb.dut._035_,0,0,0.0,0.0,0.0,0.0,0,0
traffic_light_controller_tb.dut._036_,0,0,0.0,0.0,0.0,0.0,0,0
traffic_light_controller_tb.dut._037_,8628,0,0.0,1.8518598012491683e-05,1.8518598012491683e-05,0.703706724474684,0,8628
traffic_light_controller_tb.dut._038_,8628,0,0.0,1.8518598012491683e-05,1.8518598012491683e-05,0.8888884119250499,0,8628
traffic_light_controller_tb.dut._039_,60396,0,0.0,0.00012963018608744178,0.00012963018608744178,0.592590843725183,0,60396
traffic_light_controller_tb.dut._040_,17256,0,0.0,3.704037607057763e-05,3.704037607057763e-05,0.7777577435765343,0,17256
traffic_light_controller_tb.dut._041_,60396,0,0.0,0.00012963018608744178,0.00012963018608744178,0.25926037217488357,0,60396
traffic_light_controller_tb.dut._042_,25884,0,0.0,5.5557224971989575e-05,5.5557224971989575e-05,0.3333433498319375,0,25884
traffic_light_controller_tb.dut._043_,17256,0,0.0,3.704037607057763e-05,3.704037607057763e-05,0.22224225642346576,0,17256
traffic_light_controller_tb.dut._044_,51768,0,0.0,0.00011111158807495009,0.00011111158807495009,0.2222231761499002,0,51768
traffic_light_controller_tb.dut._045_,51768,0,0.0,0.00011111158807495009,0.00011111158807495009,0.5555579403747505,0,51768
traffic_light_controller_tb.dut._046_,51768,0,0.0,0.00011111158807495009,0.00011111158807495009,0.4444420596252495,0,51768
traffic_light_controller_tb.dut._047_,17256,0,0.0,3.704037607057763e-05,3.704037607057763e-05,0.7777577435765343,0,17256
traffic_light_controller_tb.dut._048_,34512,0,0.0,7.407629996265277e-05,7.407629996265277e-05,0.14815259992530555,0,34512
traffic_light_controller_tb.dut._050_,8628,0,0.0,1.8521142180033745e-05,1.8521142180033745e-05,0.8888731469197976,0,8628
traffic_light_controller_tb.dut._051_,8628,0,0.0,1.852161928927472e-05,1.852161928927472e-05,0.9629567614214506,0,8628
traffic_light_controller_tb.dut._052_,8628,0,0.0,1.8520188035288815e-05,1.8520188035288815e-05,0.7777577435765343,0,8628
traffic_light_controller_tb.dut._053_,8628,0,0.0,1.852161928927472e-05,1.852161928927472e-05,0.9259135228429011,0,8628
traffic_light_controller_tb.dut._054_,69025,0,0.0,0.0001481496585206712,0.0001481496585206712,0.7037049755963547,0,69025
traffic_light_controller_tb.dut._055_,17256,0,0.0,3.704037607057763e-05,3.704037607057763e-05,0.1481615042823105,0,17256
traffic_light_controller_tb.dut._056_,8628,0,0.0,1.851971099978106e-05,1.851971099978106e-05,0.8888817340013137,0,8628
traffic_light_controller_tb.dut._057_,8628,0,0.0,1.8520188035288815e-05,1.8520188035288815e-05,0.9629596239294224,0,8628
traffic_light_controller_tb.dut._058_,8628,0,0.0,1.851907499066319e-05,1.851907499066319e-05,0.8518474000746945,0,8628
traffic_light_controller_tb.dut._059_,25884,0,0.0,5.5557224971989575e-05,5.5557224971989575e-05,0.3333433498319375,0,25884
traffic_light_controller_tb.dut._060_,8628,0,0.0,1.851907499066319e-05,1.851907499066319e-05,0.9629618500186736,0,8628
traffic_light_controller_tb.dut._061_,8628,0,0.0,1.8518598012491683e-05,1.8518598012491683e-05,0.7407396278251165,0,8628
traffic_light_controller_tb.dut._062_,17256,0,0.0,3.703942199956212e-05,3.703942199956212e-05,0.7777634680026273,0,17256
traffic_light_controller_tb.dut._063_,17256,0,0.0,3.7037196024983366e-05,3.7037196024983366e-05,0.48148354832478374,0,17256
traffic_light_controller_tb.dut._064_,8628,0,0.0,1.8518598012491683e-05,1.8518598012491683e-05,0.7407396278251165,0,8628
traffic_light_controller_tb.dut._065_,0,0,0.0,0.0,0.0,0.0,0,0
traffic_light_controller_tb.dut._066_,8628,0,0.0,1.8520188035288815e-05,1.8520188035288815e-05,0.33336338463519866,0,8628
traffic_light_controller_tb.dut._067_,8628,0,0.0,1.8518598012491683e-05,1.8518598012491683e-05,0.6296280397501663,0,8628
traffic_light_controller_tb.dut._068_,8628,0,0.0,1.8518598012491683e-05,1.8518598012491683e-05,0.37037196024983365,0,8628
traffic_light_controller_tb.dut._069_,0,0,0.0,0.0,0.0,0.0,0,0
traffic_light_controller_tb.dut._070_,17256,0,0.0,3.7037196024983366e-05,3.7037196024983366e-05,0.2222231761499002,0,17256
traffic_light_controller_tb.dut._071_,17256,0,0.0,3.703814998132638e-05,3.703814998132638e-05,0.37038149981326385,0,17256
traffic_light_controller_tb.dut._072_,8628,0,0.0,1.8518598012491683e-05,1.8518598012491683e-05,0.5925951363997338,0,8628
traffic_light_controller_tb.dut._073_,8628,0,0.0,1.8518598012491683e-05,1.8518598012491683e-05,0.29629327552531604,0,8628
traffic_light_controller_tb.dut._074_,0,0,0.0,0.0,0.0,0.0,0,0
traffic_light_controller_tb.dut._075_,17256,0,0.0,3.7037196024983366e-05,3.7037196024983366e-05,0.2222231761499002,0,17256
traffic_light_controller_tb.dut._076_,17256,0,0.0,3.7037196024983366e-05,3.7037196024983366e-05,0.4444420596252495,0,17256
traffic_light_controller_tb.dut._077_,8628,0,0.0,1.851971099978106e-05,1.851971099978106e-05,0.666645202003941,0,8628
traffic_light_controller_tb.dut._078_,8628,0,0.0,1.851971099978106e-05,1.851971099978106e-05,0.22223653199737273,0,8628
traffic_light_controller_tb.dut._079_,0,0,0.0,0.0,0.0,0.0,0,0
traffic_light_controller_tb.dut._080_,25884,0,0.0,5.5555794037475046e-05,5.5555794037475046e-05,0.6666652357751497,0,25884
traffic_light_controller_tb.dut._081_,17256,0,0.0,3.7037196024983366e-05,3.7037196024983366e-05,0.48148354832478374,0,17256
traffic_light_controller_tb.dut._082_,0,0,0.0,0.0,0.0,0.0,0,0
traffic_light_controller_tb.dut._083_,51769,0,0.0,0.00011111278047021553,0.00011111278047021553,0.7777744390595689,0,51769
traffic_light_controller_tb.dut._084_,77653,0,0.0,0.00016666809754589904,0.00016666809754589904,0.555553170756835,0,77653
traffic_light_controller_tb.dut._085_,43140,0,0.0,9.25937850124274e-05,9.25937850124274e-05,0.1851875700248548,0,43140
traffic_light_controller_tb.dut.clk,232957,0,0.0,0.0005,0.0005,0.49999785368115146,0,232957
traffic_light_controller_tb.dut.rst,1,0,0.0,0.0005,0.0005,1.0,0,1
traffic_light_controller_tb.dut.light_S[2:0],12942,0,0.0,2.7777897018737523e-05,2.7777897018737523e-05,0.14814878409993346,0,12942
traffic_light_controller_tb.dut.light_MT[2:0],12942,0,0.0,2.777956649967159e-05,2.777956649967159e-05,0.22223653199737273,0,12942
traffic_light_controller_tb.dut.light_M2[2:0],12942,0,0.0,2.7777897018737523e-05,2.7777897018737523e-05,0.29629327552531604,0,12942
traffic_light_controller_tb.dut.light_M1[2:0],12942,0,0.0,2.7777897018737523e-05,2.7777897018737523e-05,0.6296280397501663,0,12942
traffic_light_controller_tb.dut._049_,8628,0,0.0,1.852161928927472e-05,1.852161928927472e-05,0.037043238578549444,0,8628
traffic_light_controller_tb.dut._000_[3:0],116479,0,0.0,0.0002500010731594243,0.0002500010731594243,0.22222556094043106,0,116479
traffic_light_controller_tb.dut.count[3:0],116479,0,0.0,0.0002500010731594243,0.0002500010731594243,0.22222126830273398,0,116479
traffic_light_controller_tb.dut.ps[5:0],25884,0,0.0,5.5555794037475046e-05,5.5555794037475046e-05,0.29629327552531604,0,25884
