signal,total_toggles,glitch_toggles,hazard_ratio,toggle_density,effective_activity,duty_cycle,glitch_power_proxy,total_power_proxy
traffic_light_controller_tb.light_S[2:0],35515,0,0.0,1.1110676604697363e-05,1.1110676604697363e-05,0.14813818346772617,0,35515
traffic_light_controller_tb.light_MT[2:0],35517,0,0.0,1.111130229393316e-05,1.111130229393316e-05,0.2222260458786632,0,35517
traffic_light_controller_tb.light_M2[2:0],35516,0,0.0,1.1111302299316258e-05,1.1111302299316258e-05,0.29631443020787546,0,35516
traffic_light_controller_tb.light_M1[2:0],35516,0,0.0,1.1110989449315262e-05,1.1110989449315262e-05,0.6296451559921477,0,35516
traffic_light_controller_tb.clk,639301,0,0.0,0.0002,0.0002,0.49999921789579554,0,639301
traffic_light_controller_tb.rst,1,0,0.0,5e-05,5e-05,1.0,0,1
traffic_light_controller_tb.dut._001_,23677,0,0.0,7.407523280496943e-06,7.407523280496943e-06,0.2963150098002562,0,23677
traffic_light_controller_tb.dut._002_,23678,0,0.0,7.407465341052181e-06,7.407465341052181e-06,0.1481493068210436,0,23678
traffic_light_controller_tb.dut._003_,23678,0,0.0,7.4076275600786504e-06,7.4076275600786504e-06,0.2222288268023595,0,23678
traffic_light_controller_tb.dut._004_,23678,0,0.0,7.407766610613586e-06,7.407766610613586e-06,0.11111649915920378,0,23678
traffic_light_controller_tb.dut._005_,23677,0,0.0,7.407152499370406e-06,7.407152499370406e-06,0.11110259486532947,0,23677
traffic_light_controller_tb.dut._006_,23678,0,0.0,7.407558036768743e-06,7.407558036768743e-06,0.11111337055153114,0,23678
traffic_light_controller_tb.dut._007_,260455,0,0.0,8.148118022652866e-05,8.148118022652866e-05,0.4814789903347562,0,260455
traffic_light_controller_tb.dut._008_,284133,0,0.0,8.888864556758084e-05,8.888864556758084e-05,0.44444166362949533,0,284133
traffic_light_controller_tb.dut._009_,165745,0,0.0,5.1853080072017735e-05,5.1853080072017735e-05,0.25927165733074503,0,165745
traffic_light_controller_tb.dut._010_,284133,0,0.0,8.888864556758084e-05,8.888864556758084e-05,0.4444494846715397,0,284133
traffic_light_controller_tb.dut._011_,189422,0,0.0,5.9259097045053894e-05,5.9259097045053894e-05,0.44444635625472195,0,189422
traffic_light_controller_tb.dut._012_,142066,0,0.0,4.444430540326201e-05,4.444430540326201e-05,0.77777847298369,0,142066
traffic_light_controller_tb.dut._013_,142066,0,0.0,4.4444166362949536e-05,4.4444166362949536e-05,0.5555583363705047,0,142066
traffic_light_controller_tb.dut._014_,94710,0,0.0,2.9629235680845174e-05,2.9629235680845174e-05,0.18518350510948678,0,94710
traffic_light_controller_tb.dut._015_,142066,0,0.0,4.4444166362949536e-05,4.4444166362949536e-05,0.5555583363705047,0,142066
traffic_light_controller_tb.dut._016_,189422,0,0.0,5.9259097045053894e-05,5.9259097045053894e-05,0.44444635625472195,0,189422
traffic_light_controller_tb.dut._017_,71034,0,0.0,2.222288268023595e-05,2.222288268023595e-05,0.2222288268023595,0,71034
traffic_light_controller_tb.dut._018_,165744,0,0.0,5.185163170400171e-05,5.185163170400171e-05,0.40740746534105216,0,165744
traffic_light_controller_tb.dut._019_,94711,0,0.0,2.9629548522526947e-05,2.9629548522526947e-05,0.8518538215957742,0,94711
traffic_light_controller_tb.dut._020_,71033,0,0.0,2.2222083181474768e-05,2.2222083181474768e-05,0.7037045147747305,0,71033
traffic_light_controller_tb.dut._021_,0,0,0.0,0.0,0.0,1.0,0,0
traffic_light_controller_tb.dut._022_,0,0,0.0,0.0,0.0,1.0,0,0
traffic_light_controller_tb.dut._024_,71033,0,0.0,2.2222083181474768e-05,2.2222083181474768e-05,0.8148164948905132,0,71033
traffic_light_controller_tb.dut._025_,71033,0,0.0,2.2222083181474768e-05,2.2222083181474768e-05,0.7037045147747305,0,71033
traffic_light_controller_tb.dut._026_,47356,0,0.0,1.4815255120157301e-05,1.4815255120157301e-05,0.2222288268023595,0,47356
traffic_light_controller_tb.dut._027_,47356,0,0.0,1.4815255120157301e-05,1.4815255120157301e-05,0.2222288268023595,0,47356
traffic_light_controller_tb.dut._028_,23678,0,0.0,7.407812961951973e-06,7.407812961951973e-06,0.9629609351902402,0,23678
traffic_light_controller_tb.dut._029_,23678,0,0.0,7.407812961951973e-06,7.407812961951973e-06,0.9629609351902402,0,23678
traffic_light_controller_tb.dut._031_,0,0,0.0,0.0,0.0,1.0,0,0
traffic_light_controller_tb.dut._033_,0,0,0.0,0.0,0.0,1.0,0,0
traffic_light_controller_tb.dut._034_,0,0,0.0,0.0,0.0,1.0,0,0
traffic_light_controller_tb.dut._035_,0,0,0.0,0.0,0.0,0.0,0,0
traffic_light_controller_tb.dut._036_,0,0,0.0,0.0,0.0,0.0,0,0
traffic_light_controller_tb.dut._037_,23677,0,0.0,7.407500105589022e-06,7.407500105589022e-06,0.7036827886764768,0,23677
traffic_light_controller_tb.dut._038_,23676,0,0.0,7.4073726447192435e-06,7.4073726447192435e-06,0.8888894103292113,0,23676
traffic_light_controller_tb.dut._039_,165743,0,0.0,5.1851481075365364e-05,5.1851481075365364e-05,0.5925975169678038,0,165743
traffic_light_controller_tb.dut._040_,47356,0,0.0,1.4815208770994026e-05,1.4815208770994026e-05,0.7777718684350896,0,47356
traffic_light_controller_tb.dut._041_,165744,0,0.0,5.185163170400171e-05,5.185163170400171e-05,0.25925815852000855,0,165744
traffic_light_controller_tb.dut._042_,71033,0,0.0,2.2222083181474768e-05,2.2222083181474768e-05,0.3333328119305304,0,71033
traffic_light_controller_tb.dut._043_,47356,0,0.0,1.4815208770994026e-05,1.4815208770994026e-05,0.2222281315649104,0,47356
traffic_light_controller_tb.dut._044_,142066,0,0.0,4.4444166362949536e-05,4.4444166362949536e-05,0.22222083181474767,0,142066
traffic_light_controller_tb.dut._045_,142065,0,0.0,4.4443853521267757e-05,4.4443853521267757e-05,0.555553643745278,0,142065
traffic_light_controller_tb.dut._046_,142065,0,0.0,4.4443853521267757e-05,4.4443853521267757e-05,0.44444635625472195,0,142065
traffic_light_controller_tb.dut._047_,47356,0,0.0,1.4815208770994026e-05,1.4815208770994026e-05,0.7777718684350896,0,47356
