signal,total_toggles,glitch_toggles,hazard_ratio,toggle_density,effective_activity,duty_cycle,glitch_power_proxy,total_power_proxy
vm_tb.out,3,0,0.0,5.4545454545454546e-05,5.4545454545454546e-05,0.18181818181818182,0,3
vm_tb.change[1:0],3,0,0.0,5.4545454545454546e-05,5.4545454545454546e-05,0.12727272727272726,0,3
vm_tb.clk,12,0,0.0,0.0002,0.0002,0.5,0,12
vm_tb.in[1:0],2,0,0.0,5.2631578947368424e-05,5.2631578947368424e-05,0.5789473684210527,0,2
vm_tb.reset,1,0,0.0,6.25e-05,6.25e-05,1.0,0,1
vm_tb.dut.clk,12,0,0.0,0.0002,0.0002,0.5,0,12
vm_tb.dut.in[1:0],2,0,0.0,5.2631578947368424e-05,5.2631578947368424e-05,0.5789473684210527,0,2
vm_tb.dut.reset,1,0,0.0,6.25e-05,6.25e-05,1.0,0,1
vm_tb.dut.c_state[1:0],4,0,0.0,7.272727272727273e-05,7.272727272727273e-05,0.18181818181818182,0,4
vm_tb.dut.change[1:0],3,0,0.0,5.4545454545454546e-05,5.4545454545454546e-05,0.12727272727272726,0,3
vm_tb.dut.n_state[1:0],5,0,0.0,9.09090909090909e-05,9.09090909090909e-05,0.16363636363636364,0,5
vm_tb.dut.out,3,0,0.0,5.4545454545454546e-05,5.4545454545454546e-05,0.18181818181818182,0,3
