signal,total_toggles,glitch_toggles,hazard_ratio,toggle_density,effective_activity,duty_cycle,glitch_power_proxy,total_power_proxy
vm_tb.out,3,0,0.0,6.666666666666667e-05,6.666666666666667e-05,0.2222222222222222,0,3
vm_tb.change[1:0],3,0,0.0,6.666666666666667e-05,6.666666666666667e-05,0.15555555555555556,0,3
vm_tb.clk,10,0,0.0,0.0002,0.0002,0.5,0,10
vm_tb.in[1:0],2,0,0.0,7.142857142857143e-05,7.142857142857143e-05,0.7857142857142857,0,2
vm_tb.reset,1,0,0.0,0.00016666666666666666,0.00016666666666666666,1.0,0,1
vm_tb.dut._00_,4,0,0.0,8.888888888888889e-05,8.888888888888889e-05,0.2222222222222222,0,4
vm_tb.dut._01_,5,0,0.0,0.00011111111111111112,0.00011111111111111112,0.4444444444444444,0,5
vm_tb.dut._02_,2,0,0.0,0.00013333333333333334,0.00013333333333333334,0.6,0,2
vm_tb.dut._03_,2,0,0.0,8e-05,8e-05,0.6,0,2
vm_tb.dut._04_,3,0,0.0,6.666666666666667e-05,6.666666666666667e-05,0.7777777777777778,0,3
vm_tb.dut._05_,2,0,0.0,7.142857142857143e-05,7.142857142857143e-05,0.0,0,2
vm_tb.dut._06_,1,0,0.0,0.00016666666666666666,0.00016666666666666666,0.0,0,1
vm_tb.dut._07_,2,0,0.0,8e-05,8e-05,0.4,0,2
vm_tb.dut._08_,2,0,0.0,7.142857142857143e-05,7.142857142857143e-05,0.7857142857142857,0,2
vm_tb.dut._09_,3,0,0.0,6.666666666666667e-05,6.666666666666667e-05,0.2222222222222222,0,3
vm_tb.dut._10_,3,0,0.0,6.666666666666667e-05,6.666666666666667e-05,0.4444444444444444,0,3
vm_tb.dut._11_,1,0,0.0,0.00016666666666666666,0.00016666666666666666,0.0,0,1
vm_tb.dut._12_,1,0,0.0,0.00016666666666666666,0.00016666666666666666,0.0,0,1
vm_tb.dut._13_,3,0,0.0,6.666666666666667e-05,6.666666666666667e-05,0.5555555555555556,0,3
vm_tb.dut._14_,3,0,0.0,6.666666666666667e-05,6.666666666666667e-05,0.2222222222222222,0,3
vm_tb.dut._15_,1,0,0.0,0.00016666666666666666,0.00016666666666666666,0.0,0,1
vm_tb.dut.clk,10,0,0.0,0.0002,0.0002,0.5,0,10
vm_tb.dut.in[1:0],2,0,0.0,7.142857142857143e-05,7.142857142857143e-05,0.7857142857142857,0,2
vm_tb.dut.out,3,0,0.0,6.666666666666667e-05,6.666666666666667e-05,0.2222222222222222,0,3
vm_tb.dut.reset,1,0,0.0,0.00016666666666666666,0.00016666666666666666,1.0,0,1
vm_tb.dut.change[1:0],3,0,0.0,6.666666666666667e-05,6.666666666666667e-05,0.15555555555555556,0,3
vm_tb.dut.c_state[2:0],4,0,0.0,8.888888888888889e-05,8.888888888888889e-05,0.5555555555555556,0,4
