signal,total_toggles,avg_toggle_rate,peak_toggle_rate,activity_factor,toggle_density,duty_cycle
MIPS_tb.clk1,34,0.11371237458193979,0.0033444816053511705,1.137123745819398e-09,0.11371237458193979,0.2842809364548495
MIPS_tb.clk2,32,0.1111111111111111,0.003472222222222222,1.111111111111111e-09,0.1111111111111111,0.2777777777777778
MIPS_tb.k[31:0],1,0.0035714285714285713,0.0035714285714285713,3.5714285714285714e-11,0.0035714285714285713,0.0
MIPS_tb.DUT.clk1,34,0.11371237458193979,0.0033444816053511705,1.137123745819398e-09,0.11371237458193979,0.2842809364548495
MIPS_tb.DUT.clk2,32,0.1111111111111111,0.003472222222222222,1.111111111111111e-09,0.1111111111111111,0.2777777777777778
MIPS_tb.DUT.EX_MEM_ALUOut[31:0],7,0.046052631578947366,0.006578947368421052,4.6052631578947367e-10,0.046052631578947366,0.0
MIPS_tb.DUT.EX_MEM_IR[31:0],10,0.05319148936170213,0.005319148936170213,5.319148936170213e-10,0.05319148936170213,0.0
MIPS_tb.DUT.EX_MEM_type[2:0],3,0.01764705882352941,0.0058823529411764705,1.7647058823529413e-10,0.01764705882352941,0.3176470588235294
MIPS_tb.DUT.HALTED,1,0.005319148936170213,0.005319148936170213,5.3191489361702125e-11,0.005319148936170213,0.0
MIPS_tb.DUT.ID_EX_A[31:0],7,0.03954802259887006,0.005649717514124294,3.954802259887006e-10,0.03954802259887006,0.0
MIPS_tb.DUT.ID_EX_B[31:0],10,0.05649717514124294,0.005649717514124294,5.649717514124294e-10,0.05649717514124294,0.1016949152542373
MIPS_tb.DUT.ID_EX_IR[31:0],10,0.05649717514124294,0.005649717514124294,5.649717514124294e-10,0.05649717514124294,0.0
MIPS_tb.DUT.ID_EX_Imm[31:0],10,0.05649717514124294,0.005649717514124294,5.649717514124294e-10,0.05649717514124294,0.0
MIPS_tb.DUT.ID_EX_NPC[31:0],10,0.05649717514124294,0.005649717514124294,5.649717514124294e-10,0.05649717514124294,0.1016949152542373
MIPS_tb.DUT.ID_EX_type[2:0],3,0.018867924528301886,0.006289308176100629,1.8867924528301888e-10,0.018867924528301886,0.33962264150943394
MIPS_tb.DUT.IF_ID_IR[31:0],10,0.058823529411764705,0.0058823529411764705,5.88235294117647e-10,0.058823529411764705,0.0
MIPS_tb.DUT.IF_ID_NPC[31:0],11,0.05851063829787234,0.005319148936170213,5.851063829787234e-10,0.05851063829787234,0.09574468085106383
MIPS_tb.DUT.MEM_WB_ALUOut[31:0],7,0.0440251572327044,0.006289308176100629,4.40251572327044e-10,0.0440251572327044,0.0
MIPS_tb.DUT.MEM_WB_IR[31:0],9,0.05084745762711865,0.005649717514124294,5.084745762711865e-10,0.05084745762711865,0.0
MIPS_tb.DUT.MEM_WB_type[2:0],3,0.01694915254237288,0.005649717514124294,1.6949152542372882e-10,0.01694915254237288,0.3050847457627119
MIPS_tb.DUT.PC[31:0],11,0.05851063829787234,0.005319148936170213,5.851063829787234e-10,0.05851063829787234,0.09574468085106383
