signal,total_toggles,avg_toggle_rate,peak_toggle_rate,activity_factor,toggle_density,duty_cycle
MIPS_tb.clk1,30,0.10344827586206896,0.0034482758620689655,1.0344827586206896e-09,0.10344827586206896,0.25862068965517243
MIPS_tb.clk2,30,0.1,0.0033333333333333335,1e-09,0.1,0.25
MIPS_tb.k[31:0],1,0.0035714285714285713,0.0035714285714285713,3.5714285714285714e-11,0.0035714285714285713,0.0
MIPS_tb.DUT.clk1,30,0.10344827586206896,0.0034482758620689655,1.0344827586206896e-09,0.10344827586206896,0.25862068965517243
MIPS_tb.DUT.clk2,30,0.1,0.0033333333333333335,1e-09,0.1,0.25
MIPS_tb.DUT.EX_MEM_ALUOut[31:0],7,0.041916167664670656,0.005988023952095809,4.191616766467066e-10,0.041916167664670656,0.0
MIPS_tb.DUT.EX_MEM_IR[31:0],9,0.043478260869565216,0.004830917874396135,4.3478260869565215e-10,0.043478260869565216,0.0
MIPS_tb.DUT.EX_MEM_type[2:0],3,0.016042780748663103,0.0053475935828877,1.6042780748663102e-10,0.016042780748663103,0.32085561497326204
MIPS_tb.DUT.HALTED,1,0.004830917874396135,0.004830917874396135,4.8309178743961354e-11,0.004830917874396135,0.0
MIPS_tb.DUT.ID_EX_A[31:0],7,0.03553299492385787,0.005076142131979695,3.553299492385787e-10,0.03553299492385787,0.0
MIPS_tb.DUT.ID_EX_B[31:0],9,0.04568527918781726,0.005076142131979695,4.5685279187817257e-10,0.04568527918781726,0.10152284263959391
MIPS_tb.DUT.ID_EX_IR[31:0],9,0.04568527918781726,0.005076142131979695,4.5685279187817257e-10,0.04568527918781726,0.0
MIPS_tb.DUT.ID_EX_Imm[31:0],9,0.04568527918781726,0.005076142131979695,4.5685279187817257e-10,0.04568527918781726,0.0
MIPS_tb.DUT.ID_EX_NPC[31:0],10,0.050761421319796954,0.005076142131979695,5.076142131979696e-10,0.050761421319796954,0.10152284263959391
MIPS_tb.DUT.ID_EX_type[2:0],3,0.01694915254237288,0.005649717514124294,1.6949152542372882e-10,0.01694915254237288,0.3389830508474576
MIPS_tb.DUT.IF_ID_IR[31:0],9,0.0481283422459893,0.0053475935828877,4.81283422459893e-10,0.0481283422459893,0.0
MIPS_tb.DUT.IF_ID_NPC[31:0],11,0.05314009661835749,0.004830917874396135,5.314009661835749e-10,0.05314009661835749,0.0966183574879227
MIPS_tb.DUT.MEM_WB_ALUOut[31:0],7,0.03954802259887006,0.005649717514124294,3.954802259887006e-10,0.03954802259887006,0.0
MIPS_tb.DUT.MEM_WB_IR[31:0],8,0.04060913705583756,0.005076142131979695,4.0609137055837565e-10,0.04060913705583756,0.0
MIPS_tb.DUT.MEM_WB_type[2:0],3,0.015228426395939087,0.005076142131979695,1.5228426395939086e-10,0.015228426395939087,0.30456852791878175
MIPS_tb.DUT.PC[31:0],11,0.05314009661835749,0.004830917874396135,5.314009661835749e-10,0.05314009661835749,0.0966183574879227
