signal,total_toggles,avg_toggle_rate,peak_toggle_rate,activity_factor,toggle_density,duty_cycle
ALU_tb.Z[15:0],2,0.1111111111111111,0.05555555555555555,1.111111111111111e-09,0.1111111111111111,0.0
ALU_tb.S,1,0.06666666666666667,0.06666666666666667,6.666666666666666e-10,0.06666666666666667,0.0
ALU_tb.X[15:0],2,0.1111111111111111,0.05555555555555555,1.111111111111111e-09,0.1111111111111111,0.0
ALU_tb.Y[15:0],2,0.1111111111111111,0.05555555555555555,1.111111111111111e-09,0.1111111111111111,0.0
ALU_tb.DUT.Sign,1,0.06666666666666667,0.06666666666666667,6.666666666666666e-10,0.06666666666666667,0.0
ALU_tb.DUT.X[15:0],2,0.1111111111111111,0.05555555555555555,1.111111111111111e-09,0.1111111111111111,0.0
ALU_tb.DUT.Y[15:0],2,0.1111111111111111,0.05555555555555555,1.111111111111111e-09,0.1111111111111111,0.0
ALU_tb.DUT.Z[15:0],2,0.1111111111111111,0.05555555555555555,1.111111111111111e-09,0.1111111111111111,0.0
ALU_tb.DUT.Sign_reg,1,0.06666666666666667,0.06666666666666667,6.666666666666666e-10,0.06666666666666667,0.0
ALU_tb.DUT.Z_reg[15:0],2,0.1111111111111111,0.05555555555555555,1.111111111111111e-09,0.1111111111111111,0.0
ALU_tb.DUT.temp_sum[16:0],2,0.1111111111111111,0.05555555555555555,1.111111111111111e-09,0.1111111111111111,0.0
