signal,total_toggles,avg_toggle_rate,peak_toggle_rate,activity_factor,toggle_density,duty_cycle
demux1x4_tb2.o3,2,0.0001,5e-05,1e-12,0.0001,0.25
demux1x4_tb2.o2,4,0.00016,4e-05,1.6e-12,0.00016,0.4
demux1x4_tb2.o0,3,0.0001,3.3333333333333335e-05,1e-12,0.0001,0.3333333333333333
demux1x4_tb2.a[3:0],5,0.00016666666666666666,3.3333333333333335e-05,1.6666666666666666e-12,0.00016666666666666666,0.0
demux1x4_tb2.sel[1:0],6,0.0002,3.3333333333333335e-05,2e-12,0.0002,0.0
demux1x4_tb2.dut.a[3:0],5,0.00016666666666666666,3.3333333333333335e-05,1.6666666666666666e-12,0.00016666666666666666,0.0
demux1x4_tb2.dut.sel[1:0],6,0.0002,3.3333333333333335e-05,2e-12,0.0002,0.0
demux1x4_tb2.dut.o0,3,0.0001,3.3333333333333335e-05,1e-12,0.0001,0.3333333333333333
demux1x4_tb2.dut.o2,4,0.00016,4e-05,1.6e-12,0.00016,0.4
demux1x4_tb2.dut.o3,2,0.0001,5e-05,1e-12,0.0001,0.25
