signal,total_toggles,avg_toggle_rate,peak_toggle_rate,activity_factor,toggle_density,duty_cycle
full_adder_tb2.sum,3,6.976744186046511e-05,2.325581395348837e-05,6.976744186046512e-13,6.976744186046511e-05,0.627906976744186
full_adder_tb2.carry,4,0.00011111111111111112,2.777777777777778e-05,1.1111111111111112e-12,0.00011111111111111112,0.7222222222222222
full_adder_tb2.a,2,4.651162790697674e-05,2.325581395348837e-05,4.651162790697674e-13,4.651162790697674e-05,0.3953488372093023
full_adder_tb2.b,1,2.777777777777778e-05,2.777777777777778e-05,2.777777777777778e-13,2.777777777777778e-05,1.0
full_adder_tb2.c,4,0.00011111111111111112,2.777777777777778e-05,1.1111111111111112e-12,0.00011111111111111112,0.7222222222222222
full_adder_tb2.dut.a,2,4.651162790697674e-05,2.325581395348837e-05,4.651162790697674e-13,4.651162790697674e-05,0.3953488372093023
full_adder_tb2.dut.b,1,2.777777777777778e-05,2.777777777777778e-05,2.777777777777778e-13,2.777777777777778e-05,1.0
full_adder_tb2.dut.c,4,0.00011111111111111112,2.777777777777778e-05,1.1111111111111112e-12,0.00011111111111111112,0.7222222222222222
full_adder_tb2.dut.carry,4,0.00011111111111111112,2.777777777777778e-05,1.1111111111111112e-12,0.00011111111111111112,0.7222222222222222
full_adder_tb2.dut.w3,2,9.523809523809524e-05,4.761904761904762e-05,9.523809523809523e-13,9.523809523809524e-05,0.7619047619047619
full_adder_tb2.dut.w2,2,5.555555555555556e-05,2.777777777777778e-05,5.555555555555556e-13,5.555555555555556e-05,0.2777777777777778
full_adder_tb2.dut.w1,3,6.976744186046511e-05,2.325581395348837e-05,6.976744186046512e-13,6.976744186046511e-05,0.7674418604651163
full_adder_tb2.dut.sum,3,6.976744186046511e-05,2.325581395348837e-05,6.976744186046512e-13,6.976744186046511e-05,0.627906976744186
full_adder_tb2.dut.ha1.a,2,4.651162790697674e-05,2.325581395348837e-05,4.651162790697674e-13,4.651162790697674e-05,0.3953488372093023
full_adder_tb2.dut.ha1.b,1,2.777777777777778e-05,2.777777777777778e-05,2.777777777777778e-13,2.777777777777778e-05,1.0
full_adder_tb2.dut.ha1.carry,2,5.555555555555556e-05,2.777777777777778e-05,5.555555555555556e-13,5.555555555555556e-05,0.2777777777777778
full_adder_tb2.dut.ha1.sum,3,6.976744186046511e-05,2.325581395348837e-05,6.976744186046512e-13,6.976744186046511e-05,0.7674418604651163
full_adder_tb2.dut.ha2.a,3,6.976744186046511e-05,2.325581395348837e-05,6.976744186046512e-13,6.976744186046511e-05,0.7674418604651163
full_adder_tb2.dut.ha2.b,4,0.00011111111111111112,2.777777777777778e-05,1.1111111111111112e-12,0.00011111111111111112,0.7222222222222222
full_adder_tb2.dut.ha2.carry,2,9.523809523809524e-05,4.761904761904762e-05,9.523809523809523e-13,9.523809523809524e-05,0.7619047619047619
full_adder_tb2.dut.ha2.sum,3,6.976744186046511e-05,2.325581395348837e-05,6.976744186046512e-13,6.976744186046511e-05,0.627906976744186
