signal,total_toggles,avg_toggle_rate,peak_toggle_rate,activity_factor,toggle_density,duty_cycle
full_adder_tb.sum,3,0.00015,5e-05,1.5e-12,0.00015,0.75
full_adder_tb.carry,4,0.0002,5e-05,2e-12,0.0002,0.5
full_adder_tb.a,2,0.0001,5e-05,1e-12,0.0001,0.25
full_adder_tb.b,1,5e-05,5e-05,5e-13,5e-05,1.0
full_adder_tb.c,4,0.0002,5e-05,2e-12,0.0002,0.5
full_adder_tb.dut.a,2,0.0001,5e-05,1e-12,0.0001,0.25
full_adder_tb.dut.b,1,5e-05,5e-05,5e-13,5e-05,1.0
full_adder_tb.dut.c,4,0.0002,5e-05,2e-12,0.0002,0.5
full_adder_tb.dut.carry,4,0.0002,5e-05,2e-12,0.0002,0.5
full_adder_tb.dut.w3,2,0.0002,0.0001,2e-12,0.0002,0.5
full_adder_tb.dut.w2,2,0.0001,5e-05,1e-12,0.0001,0.25
full_adder_tb.dut.w1,1,6.666666666666667e-05,6.666666666666667e-05,6.666666666666667e-13,6.666666666666667e-05,1.0
full_adder_tb.dut.sum,3,0.00015,5e-05,1.5e-12,0.00015,0.75
full_adder_tb.dut.ha1.a,2,0.0001,5e-05,1e-12,0.0001,0.25
full_adder_tb.dut.ha1.b,1,5e-05,5e-05,5e-13,5e-05,1.0
full_adder_tb.dut.ha1.carry,2,0.0001,5e-05,1e-12,0.0001,0.25
full_adder_tb.dut.ha1.sum,1,6.666666666666667e-05,6.666666666666667e-05,6.666666666666667e-13,6.666666666666667e-05,1.0
full_adder_tb.dut.ha2.a,1,6.666666666666667e-05,6.666666666666667e-05,6.666666666666667e-13,6.666666666666667e-05,1.0
full_adder_tb.dut.ha2.b,4,0.0002,5e-05,2e-12,0.0002,0.5
full_adder_tb.dut.ha2.carry,2,0.0002,0.0001,2e-12,0.0002,0.5
full_adder_tb.dut.ha2.sum,3,0.00015,5e-05,1.5e-12,0.00015,0.75
