signal,total_toggles,avg_toggle_rate,peak_toggle_rate,activity_factor,toggle_density,duty_cycle
mux4x1_tb2.out,3,0.00013636363636363637,4.545454545454545e-05,1.3636363636363636e-12,0.00013636363636363637,0.5909090909090909
mux4x1_tb2.a,3,8.108108108108108e-05,2.7027027027027027e-05,8.108108108108108e-13,8.108108108108108e-05,0.7567567567567568
mux4x1_tb2.b,4,0.0001818181818181818,4.545454545454545e-05,1.8181818181818183e-12,0.0001818181818181818,0.36363636363636365
mux4x1_tb2.c,5,0.00011111111111111112,2.2222222222222223e-05,1.1111111111111112e-12,0.00011111111111111112,0.5333333333333333
mux4x1_tb2.d,3,8.108108108108108e-05,2.7027027027027027e-05,8.108108108108108e-13,8.108108108108108e-05,0.7297297297297297
mux4x1_tb2.sel[1:0],7,0.00015555555555555556,2.2222222222222223e-05,1.5555555555555556e-12,0.00015555555555555556,0.3111111111111111
mux4x1_tb2.dut.a,3,8.108108108108108e-05,2.7027027027027027e-05,8.108108108108108e-13,8.108108108108108e-05,0.7567567567567568
mux4x1_tb2.dut.b,4,0.0001818181818181818,4.545454545454545e-05,1.8181818181818183e-12,0.0001818181818181818,0.36363636363636365
mux4x1_tb2.dut.c,5,0.00011111111111111112,2.2222222222222223e-05,1.1111111111111112e-12,0.00011111111111111112,0.5333333333333333
mux4x1_tb2.dut.d,3,8.108108108108108e-05,2.7027027027027027e-05,8.108108108108108e-13,8.108108108108108e-05,0.7297297297297297
mux4x1_tb2.dut.sel[1:0],7,0.00015555555555555556,2.2222222222222223e-05,1.5555555555555556e-12,0.00015555555555555556,0.3111111111111111
mux4x1_tb2.dut.w2,1,4.545454545454545e-05,4.545454545454545e-05,4.5454545454545457e-13,4.545454545454545e-05,1.0
mux4x1_tb2.dut.w1,5,0.00013513513513513514,2.7027027027027027e-05,1.3513513513513513e-12,0.00013513513513513514,0.4864864864864865
mux4x1_tb2.dut.out,3,0.00013636363636363637,4.545454545454545e-05,1.3636363636363636e-12,0.00013636363636363637,0.5909090909090909
mux4x1_tb2.dut.u1.a,3,8.108108108108108e-05,2.7027027027027027e-05,8.108108108108108e-13,8.108108108108108e-05,0.7567567567567568
mux4x1_tb2.dut.u1.b,4,0.0001818181818181818,4.545454545454545e-05,1.8181818181818183e-12,0.0001818181818181818,0.36363636363636365
mux4x1_tb2.dut.u1.sel,5,0.00013513513513513514,2.7027027027027027e-05,1.3513513513513513e-12,0.00013513513513513514,0.43243243243243246
mux4x1_tb2.dut.u1.out,5,0.00013513513513513514,2.7027027027027027e-05,1.3513513513513513e-12,0.00013513513513513514,0.4864864864864865
mux4x1_tb2.dut.u2.a,5,0.00011111111111111112,2.2222222222222223e-05,1.1111111111111112e-12,0.00011111111111111112,0.5333333333333333
mux4x1_tb2.dut.u2.b,3,8.108108108108108e-05,2.7027027027027027e-05,8.108108108108108e-13,8.108108108108108e-05,0.7297297297297297
mux4x1_tb2.dut.u2.sel,5,0.00013513513513513514,2.7027027027027027e-05,1.3513513513513513e-12,0.00013513513513513514,0.43243243243243246
mux4x1_tb2.dut.u2.out,1,4.545454545454545e-05,4.545454545454545e-05,4.5454545454545457e-13,4.545454545454545e-05,1.0
mux4x1_tb2.dut.u3.a,5,0.00013513513513513514,2.7027027027027027e-05,1.3513513513513513e-12,0.00013513513513513514,0.4864864864864865
mux4x1_tb2.dut.u3.b,1,4.545454545454545e-05,4.545454545454545e-05,4.5454545454545457e-13,4.545454545454545e-05,1.0
mux4x1_tb2.dut.u3.sel,3,6.666666666666667e-05,2.2222222222222223e-05,6.666666666666667e-13,6.666666666666667e-05,0.37777777777777777
mux4x1_tb2.dut.u3.out,3,0.00013636363636363637,4.545454545454545e-05,1.3636363636363636e-12,0.00013636363636363637,0.5909090909090909
