signal,total_toggles,avg_toggle_rate,peak_toggle_rate,activity_factor,toggle_density,duty_cycle
mux4x1_tb.out,3,0.00015,5e-05,1.5e-12,0.00015,0.75
mux4x1_tb.a,3,8.571428571428571e-05,2.857142857142857e-05,8.571428571428571e-13,8.571428571428571e-05,0.8571428571428571
mux4x1_tb.b,4,0.0002,5e-05,2e-12,0.0002,0.5
mux4x1_tb.c,4,0.00011428571428571428,2.857142857142857e-05,1.142857142857143e-12,0.00011428571428571428,0.42857142857142855
mux4x1_tb.d,3,8.571428571428571e-05,2.857142857142857e-05,8.571428571428571e-13,8.571428571428571e-05,0.8285714285714286
mux4x1_tb.sel[1:0],6,0.00017142857142857143,2.857142857142857e-05,1.7142857142857142e-12,0.00017142857142857143,0.14285714285714285
mux4x1_tb.dut.a,3,8.571428571428571e-05,2.857142857142857e-05,8.571428571428571e-13,8.571428571428571e-05,0.8571428571428571
mux4x1_tb.dut.b,4,0.0002,5e-05,2e-12,0.0002,0.5
mux4x1_tb.dut.c,4,0.00011428571428571428,2.857142857142857e-05,1.142857142857143e-12,0.00011428571428571428,0.42857142857142855
mux4x1_tb.dut.d,3,8.571428571428571e-05,2.857142857142857e-05,8.571428571428571e-13,8.571428571428571e-05,0.8285714285714286
mux4x1_tb.dut.sel[1:0],6,0.00017142857142857143,2.857142857142857e-05,1.7142857142857142e-12,0.00017142857142857143,0.14285714285714285
mux4x1_tb.dut.w2,1,5e-05,5e-05,5e-13,5e-05,1.0
mux4x1_tb.dut.w1,5,0.00014285714285714287,2.857142857142857e-05,1.4285714285714285e-12,0.00014285714285714287,0.6857142857142857
mux4x1_tb.dut.out,3,0.00015,5e-05,1.5e-12,0.00015,0.75
mux4x1_tb.dut.u1.a,3,8.571428571428571e-05,2.857142857142857e-05,8.571428571428571e-13,8.571428571428571e-05,0.8571428571428571
mux4x1_tb.dut.u1.b,4,0.0002,5e-05,2e-12,0.0002,0.5
mux4x1_tb.dut.u1.sel,5,0.00014285714285714287,2.857142857142857e-05,1.4285714285714285e-12,0.00014285714285714287,0.3142857142857143
mux4x1_tb.dut.u1.out,5,0.00014285714285714287,2.857142857142857e-05,1.4285714285714285e-12,0.00014285714285714287,0.6857142857142857
mux4x1_tb.dut.u2.a,4,0.00011428571428571428,2.857142857142857e-05,1.142857142857143e-12,0.00011428571428571428,0.42857142857142855
mux4x1_tb.dut.u2.b,3,8.571428571428571e-05,2.857142857142857e-05,8.571428571428571e-13,8.571428571428571e-05,0.8285714285714286
mux4x1_tb.dut.u2.sel,5,0.00014285714285714287,2.857142857142857e-05,1.4285714285714285e-12,0.00014285714285714287,0.3142857142857143
mux4x1_tb.dut.u2.out,1,5e-05,5e-05,5e-13,5e-05,1.0
mux4x1_tb.dut.u3.a,5,0.00014285714285714287,2.857142857142857e-05,1.4285714285714285e-12,0.00014285714285714287,0.6857142857142857
mux4x1_tb.dut.u3.b,1,5e-05,5e-05,5e-13,5e-05,1.0
mux4x1_tb.dut.u3.sel,2,5.714285714285714e-05,2.857142857142857e-05,5.714285714285715e-13,5.714285714285714e-05,0.5714285714285714
mux4x1_tb.dut.u3.out,3,0.00015,5e-05,1.5e-12,0.00015,0.75
