signal,total_toggles,avg_toggle_rate,peak_toggle_rate,activity_factor,toggle_density,duty_cycle,design
mux4x1_tb2.out,3,0.0001363636363636,4.545454545454545e-05,1.3636363636363638e-12,0.0001363636363636,0.5909090909090909,mux4x1_rtl2
mux4x1_tb2.a,3,8.108108108108108e-05,2.7027027027027027e-05,8.108108108108109e-13,8.108108108108108e-05,0.7567567567567568,mux4x1_rtl2
mux4x1_tb2.b,4,0.0001818181818181,4.545454545454545e-05,1.8181818181818185e-12,0.0001818181818181,0.3636363636363636,mux4x1_rtl2
mux4x1_tb2.c,5,0.0001111111111111,2.2222222222222223e-05,1.1111111111111112e-12,0.0001111111111111,0.5333333333333333,mux4x1_rtl2
mux4x1_tb2.d,3,8.108108108108108e-05,2.7027027027027027e-05,8.108108108108109e-13,8.108108108108108e-05,0.7297297297297297,mux4x1_rtl2
mux4x1_tb2.sel[1:0],7,0.0001555555555555,2.2222222222222223e-05,1.5555555555555556e-12,0.0001555555555555,0.3111111111111111,mux4x1_rtl2
mux4x1_tb2.dut.a,3,8.108108108108108e-05,2.7027027027027027e-05,8.108108108108109e-13,8.108108108108108e-05,0.7567567567567568,mux4x1_rtl2
mux4x1_tb2.dut.b,4,0.0001818181818181,4.545454545454545e-05,1.8181818181818185e-12,0.0001818181818181,0.3636363636363636,mux4x1_rtl2
mux4x1_tb2.dut.c,5,0.0001111111111111,2.2222222222222223e-05,1.1111111111111112e-12,0.0001111111111111,0.5333333333333333,mux4x1_rtl2
mux4x1_tb2.dut.d,3,8.108108108108108e-05,2.7027027027027027e-05,8.108108108108109e-13,8.108108108108108e-05,0.7297297297297297,mux4x1_rtl2
mux4x1_tb2.dut.sel[1:0],7,0.0001555555555555,2.2222222222222223e-05,1.5555555555555556e-12,0.0001555555555555,0.3111111111111111,mux4x1_rtl2
mux4x1_tb2.dut.w2,1,4.545454545454545e-05,4.545454545454545e-05,4.545454545454546e-13,4.545454545454545e-05,1.0,mux4x1_rtl2
mux4x1_tb2.dut.w1,5,0.0001351351351351,2.7027027027027027e-05,1.3513513513513513e-12,0.0001351351351351,0.4864864864864865,mux4x1_rtl2
mux4x1_tb2.dut.out,3,0.0001363636363636,4.545454545454545e-05,1.3636363636363638e-12,0.0001363636363636,0.5909090909090909,mux4x1_rtl2
mux4x1_tb2.dut.u1.a,3,8.108108108108108e-05,2.7027027027027027e-05,8.108108108108109e-13,8.108108108108108e-05,0.7567567567567568,mux4x1_rtl2
