signal,total_toggles,avg_toggle_rate,peak_toggle_rate,activity_factor,toggle_density,duty_cycle
seq_tb.z,2,0.044444444444444446,0.022222222222222223,4.4444444444444443e-10,0.044444444444444446,0.17777777777777778
seq_tb.clk,13,0.2,0.015384615384615385,2e-09,0.2,0.46153846153846156
seq_tb.rst,1,0.1,0.1,1e-09,0.1,1.0
seq_tb.x,4,0.0851063829787234,0.02127659574468085,8.51063829787234e-10,0.0851063829787234,0.3191489361702128
seq_tb.DUT._0_,4,0.07272727272727272,0.01818181818181818,7.272727272727273e-10,0.07272727272727272,0.2
seq_tb.DUT._1_,4,0.06153846153846154,0.015384615384615385,6.153846153846154e-10,0.06153846153846154,0.3076923076923077
seq_tb.DUT._2_,4,0.0851063829787234,0.02127659574468085,8.51063829787234e-10,0.0851063829787234,0.425531914893617
seq_tb.DUT.clk,13,0.2,0.015384615384615385,2e-09,0.2,0.46153846153846156
seq_tb.DUT.rst,1,0.1,0.1,1e-09,0.1,1.0
seq_tb.DUT.x,4,0.0851063829787234,0.02127659574468085,8.51063829787234e-10,0.0851063829787234,0.3191489361702128
seq_tb.DUT.z,2,0.044444444444444446,0.022222222222222223,4.4444444444444443e-10,0.044444444444444446,0.17777777777777778
seq_tb.DUT.PS[3:0],6,0.09230769230769231,0.015384615384615385,9.230769230769231e-10,0.09230769230769231,0.0
seq_tb.DUT.\PS_reg[1],4,0.06153846153846154,0.015384615384615385,6.153846153846154e-10,0.06153846153846154,0.3076923076923077
seq_tb.DUT.\PS_reg[2],4,0.07272727272727272,0.01818181818181818,7.272727272727273e-10,0.07272727272727272,0.36363636363636365
seq_tb.DUT.\PS_reg[3],3,0.046153846153846156,0.015384615384615385,4.6153846153846154e-10,0.046153846153846156,0.15384615384615385
