signal,total_toggles,avg_toggle_rate,peak_toggle_rate,activity_factor,toggle_density,duty_cycle
seq_tb.clk,11,0.2,0.01818181818181818,2e-09,0.2,0.45454545454545453
seq_tb.rst,1,0.05263157894736842,0.05263157894736842,5.263157894736842e-10,0.05263157894736842,1.0
seq_tb.x,4,0.07272727272727272,0.01818181818181818,7.272727272727273e-10,0.07272727272727272,0.36363636363636365
seq_tb.DUT._0_,0,0.0,0.01818181818181818,0.0,0.0,0.0
seq_tb.DUT._1_,1,0.01818181818181818,0.01818181818181818,1.8181818181818182e-10,0.01818181818181818,0.0
seq_tb.DUT._2_,4,0.07272727272727272,0.01818181818181818,7.272727272727273e-10,0.07272727272727272,0.36363636363636365
seq_tb.DUT.clk,11,0.2,0.01818181818181818,2e-09,0.2,0.45454545454545453
seq_tb.DUT.rst,1,0.05263157894736842,0.05263157894736842,5.263157894736842e-10,0.05263157894736842,1.0
seq_tb.DUT.x,4,0.07272727272727272,0.01818181818181818,7.272727272727273e-10,0.07272727272727272,0.36363636363636365
seq_tb.DUT.PS[3:0],2,0.03636363636363636,0.01818181818181818,3.6363636363636364e-10,0.03636363636363636,0.0
seq_tb.DUT.\PS_reg[1],1,0.01818181818181818,0.01818181818181818,1.8181818181818182e-10,0.01818181818181818,0.0
seq_tb.DUT.\PS_reg[2],2,0.03636363636363636,0.01818181818181818,3.6363636363636364e-10,0.03636363636363636,0.18181818181818182
