signal,total_toggles,avg_toggle_rate,peak_toggle_rate,activity_factor,toggle_density,duty_cycle
seq_tb.z,2,0.044444444444444446,0.022222222222222223,4.4444444444444443e-10,0.044444444444444446,0.06666666666666667
seq_tb.clk,10,0.2,0.02,2e-09,0.2,0.5
seq_tb.rst,1,0.06666666666666667,0.06666666666666667,6.666666666666666e-10,0.06666666666666667,1.0
seq_tb.x,4,0.07692307692307693,0.019230769230769232,7.692307692307692e-10,0.07692307692307693,0.38461538461538464
seq_tb.DUT._0_,3,0.057692307692307696,0.019230769230769232,5.769230769230769e-10,0.057692307692307696,0.057692307692307696
seq_tb.DUT._1_,2,0.05714285714285714,0.02857142857142857,5.714285714285714e-10,0.05714285714285714,0.2857142857142857
seq_tb.DUT._2_,4,0.07692307692307693,0.019230769230769232,7.692307692307692e-10,0.07692307692307693,0.38461538461538464
seq_tb.DUT.clk,10,0.2,0.02,2e-09,0.2,0.5
seq_tb.DUT.rst,1,0.06666666666666667,0.06666666666666667,6.666666666666666e-10,0.06666666666666667,1.0
seq_tb.DUT.x,4,0.07692307692307693,0.019230769230769232,7.692307692307692e-10,0.07692307692307693,0.38461538461538464
seq_tb.DUT.z,2,0.044444444444444446,0.022222222222222223,4.4444444444444443e-10,0.044444444444444446,0.06666666666666667
seq_tb.DUT.PS[3:0],4,0.08888888888888889,0.022222222222222223,8.888888888888889e-10,0.08888888888888889,0.0
seq_tb.DUT.\PS_reg[1],2,0.05714285714285714,0.02857142857142857,5.714285714285714e-10,0.05714285714285714,0.2857142857142857
seq_tb.DUT.\PS_reg[2],3,0.06666666666666667,0.022222222222222223,6.666666666666666e-10,0.06666666666666667,0.2222222222222222
seq_tb.DUT.\PS_reg[3],2,0.044444444444444446,0.022222222222222223,4.4444444444444443e-10,0.044444444444444446,0.2222222222222222
