signal,total_toggles,avg_toggle_rate,peak_toggle_rate,activity_factor,toggle_density,duty_cycle
traffic_light_controller_tb.light_S[2:0],85490,5.555515842870335e-06,5.549667247410534e-08,5.555515842870335e-14,5.555515842870335e-06,0.1481488220603822
traffic_light_controller_tb.light_MT[2:0],85491,5.5556097094987535e-06,5.549696098901563e-08,5.555609709498753e-14,5.5556097094987535e-06,0.22222438837995012
traffic_light_controller_tb.light_M2[2:0],85490,5.555609710132213e-06,5.549761015853211e-08,5.555609710132213e-14,5.555609710132213e-06,0.29630200057837086
traffic_light_controller_tb.light_M1[2:0],85490,5.555544724766916e-06,5.549696098901563e-08,5.555544724766916e-14,5.555544724766916e-06,0.629635117229207
traffic_light_controller_tb.clk,1538834,0.0001,9.99977905349115e-07,1e-12,0.0001,0.5
traffic_light_controller_tb.rst,1,0.0005,0.0005,5e-12,0.0005,1.0
traffic_light_controller_tb.dut.clk,1538834,0.0001,9.99977905349115e-07,1e-12,0.0001,0.5
traffic_light_controller_tb.dut.rst,1,0.0005,0.0005,5e-12,0.0005,1.0
traffic_light_controller_tb.dut.count[3:0],769417,5.000003249215477e-05,4.999892775889262e-07,5.000003249215477e-13,5.000003249215477e-05,0.22222164458391522
traffic_light_controller_tb.dut.light_M1[2:0],85490,5.555544724766916e-06,5.549696098901563e-08,5.555544724766916e-14,5.555544724766916e-06,0.629635117229207
traffic_light_controller_tb.dut.light_M2[2:0],85490,5.555609710132213e-06,5.549761015853211e-08,5.555609710132213e-14,5.555609710132213e-06,0.29630200057837086
traffic_light_controller_tb.dut.light_MT[2:0],85491,5.5556097094987535e-06,5.549696098901563e-08,5.555609709498753e-14,5.5556097094987535e-06,0.22222438837995012
traffic_light_controller_tb.dut.light_S[2:0],85490,5.555515842870335e-06,5.549667247410534e-08,5.555515842870335e-14,5.555515842870335e-06,0.1481488220603822
traffic_light_controller_tb.dut.ps[2:0],170981,1.1111096670134667e-05,1.1105832934220847e-07,1.1111096670134667e-13,1.1111096670134667e-05,0.11111161654528665
