signal,total_toggles,avg_toggle_rate,peak_toggle_rate,activity_factor,toggle_density,duty_cycle
vm_tb.out,3,5.4545454545454546e-05,1.8181818181818182e-05,5.454545454545455e-13,5.4545454545454546e-05,0.18181818181818182
vm_tb.change[1:0],3,5.4545454545454546e-05,1.8181818181818182e-05,5.454545454545455e-13,5.4545454545454546e-05,0.12727272727272726
vm_tb.clk,12,0.0002,1.6666666666666667e-05,2e-12,0.0002,0.5
vm_tb.in[1:0],2,5.2631578947368424e-05,2.6315789473684212e-05,5.263157894736843e-13,5.2631578947368424e-05,0.5789473684210527
vm_tb.reset,1,6.25e-05,6.25e-05,6.25e-13,6.25e-05,1.0
vm_tb.dut.clk,12,0.0002,1.6666666666666667e-05,2e-12,0.0002,0.5
vm_tb.dut.in[1:0],2,5.2631578947368424e-05,2.6315789473684212e-05,5.263157894736843e-13,5.2631578947368424e-05,0.5789473684210527
vm_tb.dut.reset,1,6.25e-05,6.25e-05,6.25e-13,6.25e-05,1.0
vm_tb.dut.c_state[1:0],4,7.272727272727273e-05,1.8181818181818182e-05,7.272727272727272e-13,7.272727272727273e-05,0.18181818181818182
vm_tb.dut.change[1:0],3,5.4545454545454546e-05,1.8181818181818182e-05,5.454545454545455e-13,5.4545454545454546e-05,0.12727272727272726
vm_tb.dut.n_state[1:0],5,9.09090909090909e-05,1.8181818181818182e-05,9.090909090909091e-13,9.09090909090909e-05,0.16363636363636364
vm_tb.dut.out,3,5.4545454545454546e-05,1.8181818181818182e-05,5.454545454545455e-13,5.4545454545454546e-05,0.18181818181818182
