signal,total_toggles,avg_toggle_rate,peak_toggle_rate,activity_factor,toggle_density,duty_cycle
vm_tb.out,3,6.666666666666667e-05,2.2222222222222223e-05,6.666666666666667e-13,6.666666666666667e-05,0.2222222222222222
vm_tb.change[1:0],3,6.666666666666667e-05,2.2222222222222223e-05,6.666666666666667e-13,6.666666666666667e-05,0.15555555555555556
vm_tb.clk,10,0.0002,2e-05,2e-12,0.0002,0.5
vm_tb.in[1:0],2,7.142857142857143e-05,3.571428571428572e-05,7.142857142857142e-13,7.142857142857143e-05,0.7857142857142857
vm_tb.reset,1,0.00016666666666666666,0.00016666666666666666,1.6666666666666666e-12,0.00016666666666666666,1.0
vm_tb.dut.clk,10,0.0002,2e-05,2e-12,0.0002,0.5
vm_tb.dut.in[1:0],2,7.142857142857143e-05,3.571428571428572e-05,7.142857142857142e-13,7.142857142857143e-05,0.7857142857142857
vm_tb.dut.reset,1,0.00016666666666666666,0.00016666666666666666,1.6666666666666666e-12,0.00016666666666666666,1.0
vm_tb.dut.c_state[1:0],4,8.888888888888889e-05,2.2222222222222223e-05,8.888888888888889e-13,8.888888888888889e-05,0.2222222222222222
vm_tb.dut.change[1:0],3,6.666666666666667e-05,2.2222222222222223e-05,6.666666666666667e-13,6.666666666666667e-05,0.15555555555555556
vm_tb.dut.n_state[1:0],5,0.00011111111111111112,2.2222222222222223e-05,1.1111111111111112e-12,0.00011111111111111112,0.2
vm_tb.dut.out,3,6.666666666666667e-05,2.2222222222222223e-05,6.666666666666667e-13,6.666666666666667e-05,0.2222222222222222
